source_pdf,doi,base_composition,sample_id,full_formula,num_dopants,is_codoped,primary_dopant_element,primary_dopant_pct,primary_dopant_site,codopant_elements,all_dopants_detail,source_type,source_detail,notes,temperature_K,target_value,unit
1-s2.0-S0925838810006912-main.pdf,10.1016/j.jallcom.2010.03.170,AgxSb2-xTe3-x,Ag0.84Sb1.16Te2.16,Ag0.84Sb1.16Te2.16,0,No,,,,,,body text,,,500.0,1.53,dimensionless
1-s2.0-S0925838810006912-main.pdf,10.1016/j.jallcom.2010.03.170,AgxSb2-xTe3-x,Ag0.90Sb1.10Te2.10,Ag0.90Sb1.10Te2.10,0,No,,,,,,body text,,,673.0,1.53,dimensionless
1-s2.0-S0925838819316007-main.pdf,10.1016/j.jallcom.2019.04.294,TlSbTe2,Tl0.98In0.02SbTe2,Tl0.98In0.02SbTe2,1,No,In,0.02,Tl,,In (0.02) @ Tl site,body text,,,480.0,0.61,dimensionless
1-s2.0-S0925838819316007-main.pdf,10.1016/j.jallcom.2019.04.294,TlSbTe2,TlSb0.98In0.02Te2,TlSb0.98In0.02Te2,1,No,In,0.02,Sb,,In (0.02) @ Sb site,body text,,,622.0,0.77,dimensionless
1-s2.0-S0925838819316007-main.pdf,10.1016/j.jallcom.2019.04.294,TlSbTe2,Tl0.98Yb0.02SbTe2,Tl0.98Yb0.02SbTe2,1,No,Yb,0.02,Tl,,Yb (0.02) @ Tl site,body text,,,625.0,0.85,dimensionless
1-s2.0-S092583882601529X-main.pdf,10.1016/j.jallcom.2026.187461,Te(1-x)(AgSbTe2)x,"Te(1-x)(AgSbTe2)x, x=0.01",Te0.99(AgSbTe2)0.01,2,Yes,Ag,1.0%,unclear,Sb (1.0%) @ Te,Ag (1.0%) @ unclear site; Sb (1.0%) @ Te site,body text,,,650.0,0.85,dimensionless
1-s2.0-S092583882601529X-main.pdf,10.1016/j.jallcom.2026.187461,Te(1-x)(AgSbTe2)x,x=0.5%,Te(0.995)(AgSbTe2)0.005,1,No,AgSbTe2,0.5%,Te,,AgSbTe2 (0.5%) @ Te site,figure,Fig. 6a,Visually estimated from Fig. 6a,650.0,0.85,dimensionless
1-s2.0-S092583882601529X-main.pdf,10.1016/j.jallcom.2026.187461,Te(1-x)(AgSbTe2)x,x=1.0%,Te(0.99)(AgSbTe2)0.01,1,No,AgSbTe2,1.0%,Te,,AgSbTe2 (1.0%) @ Te site,figure,Fig. 6a,Visually estimated from Fig. 6a,650.0,0.85,dimensionless
1-s2.0-S092583882601529X-main.pdf,10.1016/j.jallcom.2026.187461,Te(1-x)(AgSbTe2)x,x=1.5%,Te(0.985)(AgSbTe2)0.015,1,No,AgSbTe2,1.5%,Te,,AgSbTe2 (1.5%) @ Te site,figure,Fig. 6a,Visually estimated from Fig. 6a,650.0,0.8,dimensionless
1-s2.0-S092583882601529X-main.pdf,10.1016/j.jallcom.2026.187461,Te(1-x)(AgSbTe2)x,x=2.0%,Te(0.98)(AgSbTe2)0.02,1,No,AgSbTe2,2.0%,Te,,AgSbTe2 (2.0%) @ Te site,figure,Fig. 6a,Visually estimated from Fig. 6a,650.0,0.75,dimensionless
1-s2.0-S1359645412005150-main.pdf,10.1016/j.actamat.2012.07.057,AgSbTe2,3 at.% Pb,Ag20Sb27Te50Pb3,1,No,Pb,3 at.%,Sb,,Pb (3 at.%) @ Sb site,body text,Abstract,,425.0,0.75,dimensionless
1-s2.0-S1359645412005150-main.pdf,10.1016/j.actamat.2012.07.057,AgSbTe2,4 at.% Pb,Ag20Sb26Te50Pb4,1,No,Pb,4 at.%,Sb,,Pb (4 at.%) @ Sb site,body text,Abstract,,425.0,0.75,dimensionless
1-s2.0-S1359645412005150-main.pdf,10.1016/j.actamat.2012.07.057,AgSbTe2,5 at.% Pb,Ag20Sb25Te50Pb5,1,No,Pb,5 at.%,Sb,,Pb (5 at.%) @ Sb site,body text,Abstract,,425.0,0.75,dimensionless
1-s2.0-S1359645412005150-main.pdf,10.1016/j.actamat.2012.07.057,AgSbTe2,6 at.% Pb,Ag20Sb24Te50Pb6,1,No,Pb,6 at.%,Sb,,Pb (6 at.%) @ Sb site,body text,Abstract,,425.0,0.75,dimensionless
1-s2.0-S1359645412005150-main.pdf,10.1016/j.actamat.2012.07.057,AgSbTe2,5 at.% Pb (annealed),Ag20Sb25Te50Pb5,1,No,Pb,5 at.%,Sb,,Pb (5 at.%) @ Sb site,body text,Abstract,,425.0,0.4,dimensionless
1-s2.0-S1359645412005150-main.pdf,10.1016/j.actamat.2012.07.057,AgSbTe2,Pb-doped AgSbTe2 (3 at.%),PbxAgSbTe2 (x=0.03),1,No,Pb,3 at.%,unclear,,Pb (3 at.%) @ unclear site,figure,,Visually estimated from Fig. 5d,300.0,0.3,dimensionless
1-s2.0-S1359645412005150-main.pdf,10.1016/j.actamat.2012.07.057,AgSbTe2,Pb-doped AgSbTe2 (3 at.%),PbxAgSbTe2 (x=0.03),1,No,Pb,3 at.%,unclear,,Pb (3 at.%) @ unclear site,figure,,Visually estimated from Fig. 5d,650.0,0.2,dimensionless
1-s2.0-S1359645412005150-main.pdf,10.1016/j.actamat.2012.07.057,AgSbTe2,Pb-doped AgSbTe2 (5 at.%),PbxAgSbTe2 (x=0.05),1,No,Pb,5 at.%,unclear,,Pb (5 at.%) @ unclear site,figure,,Visually estimated from Fig. 5d; peak value,425.0,0.8,dimensionless
1-s2.0-S1359645412005150-main.pdf,10.1016/j.actamat.2012.07.057,AgSbTe2,"Pb-doped AgSbTe2 (5 at.%, annealed)",PbxAgSbTe2 (x=0.05),1,No,Pb,5 at.%,unclear,,Pb (5 at.%) @ unclear site,figure,,Visually estimated from Fig. 5d,425.0,0.4,dimensionless
1-s2.0-S1359645421008223-main.pdf,10.1016/j.actamat.2021.117443,AgSbTe2,as-sintered,AgSb0.998Ce0.002Te2,1,No,Ce,0.2 mol%,unclear,,Ce (0.2 mol%) @ unclear site,body text,,,673.0,1.5,dimensionless
1-s2.0-S1359645421008223-main.pdf,10.1016/j.actamat.2021.117443,AgSbTe2,HT523,AgSb0.998Ce0.002Te2,1,No,Ce,0.2 mol%,unclear,,Ce (0.2 mol%) @ unclear site,body text,,,673.0,1.31,dimensionless
1-s2.0-S1359645421008223-main.pdf,10.1016/j.actamat.2021.117443,AgSbTe2,HT573,AgSb0.998Ce0.002Te2,1,No,Ce,0.2 mol%,unclear,,Ce (0.2 mol%) @ unclear site,body text,,,673.0,1.27,dimensionless
1-s2.0-S1359645421008223-main.pdf,10.1016/j.actamat.2021.117443,AgSbTe2,HT673,AgSb0.998Ce0.002Te2,1,No,Ce,0.2 mol%,unclear,,Ce (0.2 mol%) @ unclear site,body text,,,673.0,1.49,dimensionless
1-s2.0-S1359645421008223-main.pdf,10.1016/j.actamat.2021.117443,AgSbTe2,as-sintered,0.2 mol% Ce-doped AgSbTe2,1,No,Ce,0.2 mol%,unclear,,Ce (0.2 mol%) @ unclear site,figure,Fig. 7c,Visually estimated from figure,673.0,0.5,dimensionless
1-s2.0-S1359645421008223-main.pdf,10.1016/j.actamat.2021.117443,AgSbTe2,HT523,0.2 mol% Ce-doped AgSbTe2,1,No,Ce,0.2 mol%,unclear,,Ce (0.2 mol%) @ unclear site,figure,Fig. 7c,Visually estimated from figure,673.0,1.31,dimensionless
1-s2.0-S1359645421008223-main.pdf,10.1016/j.actamat.2021.117443,AgSbTe2,HT573,0.2 mol% Ce-doped AgSbTe2,1,No,Ce,0.2 mol%,unclear,,Ce (0.2 mol%) @ unclear site,figure,Fig. 7c,Visually estimated from figure,673.0,1.27,dimensionless
1-s2.0-S1359645421008223-main.pdf,10.1016/j.actamat.2021.117443,AgSbTe2,HT673,0.2 mol% Ce-doped AgSbTe2,1,No,Ce,0.2 mol%,unclear,,Ce (0.2 mol%) @ unclear site,figure,Fig. 7c,Visually estimated from figure,673.0,1.49,dimensionless
1-s2.0-S1359645422000684-main.pdf,10.1016/j.actamat.2022.117681,(Sn1-xPbxSe)0.6(AgSbTe2)0.4,(SnSe)0.6(AgSbTe2)0.4,(SnSe)0.6(AgSbTe2)0.4,0,No,,,,,,body text,,,723.0,0.94,dimensionless
1-s2.0-S1359645422000684-main.pdf,10.1016/j.actamat.2022.117681,(Sn1-xPbxSe)0.6(AgSbTe2)0.4,(Sn0.9Pb0.1Se)0.6(AgSbTe2)0.4,(Sn0.9Pb0.1Se)0.6(AgSbTe2)0.4,1,No,Pb,10%,Sn,,Pb (10%) @ Sn site,body text,,,723.0,1.2,dimensionless
1-s2.0-S1359645422000684-main.pdf,10.1016/j.actamat.2022.117681,(Sn1-xPbxSe)0.6(AgSbTe2)0.4,"(SnSe)1-m(AgSbTe2)m, m=0%",SnSe,0,No,,,,,,figure,,Visually estimated from Fig. 4f,300.0,0.1,dimensionless
1-s2.0-S1359645422000684-main.pdf,10.1016/j.actamat.2022.117681,(Sn1-xPbxSe)0.6(AgSbTe2)0.4,x=0%,"(Sn1-xPbxSe)0.6(AgSbTe2)0.4, x=0",0,No,,,,,,figure,,Visually estimated from Fig. 9a,773.0,0.8,dimensionless
1-s2.0-S1359645422000684-main.pdf,10.1016/j.actamat.2022.117681,(Sn1-xPbxSe)0.6(AgSbTe2)0.4,x=10%,"(Sn1-xPbxSe)0.6(AgSbTe2)0.4, x=0.10",1,No,Pb,10%,Sn,,Pb (10%) @ Sn site,text,Section 3.7,,723.0,1.2,dimensionless
1-s2.0-S1359645425002769-main.pdf,10.1016/j.actamat.2025.120985,AgSbTe2,QA-AgSbTe2 (A = 0 h),AgSbTe2,0,No,,,,,,body text,,Value for A = 24 h,548.0,1.18,dimensionless
1-s2.0-S1359645425002769-main.pdf,10.1016/j.actamat.2025.120985,AgSbTe2,QA-AgSbTe2 (A = 0 h),AgSbTe2,0,No,,,,,,body text,,Average ZT for A = 24 h,,0.94,dimensionless
1-s2.0-S1359645425002769-main.pdf,10.1016/j.actamat.2025.120985,AgSbTe2,QA-AgSbTe2 (A = 24 h),AgSbTe2,0,No,,,,,,figure,Fig. 5b,Visually estimated from Fig. 5b,548.0,1.18,dimensionless
