source_pdf,doi,base_composition,sample_id,full_formula,num_dopants,is_codoped,primary_dopant_element,primary_dopant_pct,primary_dopant_site,codopant_elements,all_dopants_detail,source_type,source_detail,notes,temperature_K,target_value,unit
1-s2.0-S0013468616305072-main.pdf,10.1016/j.electacta.2016.02.206,AgSbTe2,"Bulk AgSbTe2 [Table 1, Ref 12]",AgSbTe2,0,No,,,,,,table,Table 1,,,133.33,S/cm
1-s2.0-S0013468616305072-main.pdf,10.1016/j.electacta.2016.02.206,AgSbTe2,"Bulk Ag20.2Sb27.9Te51.9 [Table 1, Ref 17]",Ag20.2Sb27.9Te51.9,0,No,,,,,,table,Table 1,,,269.0,S/cm
1-s2.0-S0167577X08002243-main.pdf,10.1016/j.matlet.2008.02.039,AgSbTe2,AgSbTe2 (x=0),AgSbTe2,0,No,,,,,,text,Calculated from resistivity 5.8x10^-3 Ohm cm at 2.0 GPa,Resistivity of 5.8x10^-3 Ohm cm reported at 2.0 GPa,,172.4,S/cm
1-s2.0-S0925838810006912-main.pdf,10.1016/j.jallcom.2010.03.170,AgxSb2-xTe3-x,Ag0.78Sb1.22Te2.22,Ag0.78Sb1.22Te2.22,0,No,,,,,,Table 1,,,300.0,348.0,S/cm
1-s2.0-S0925838810006912-main.pdf,10.1016/j.jallcom.2010.03.170,AgxSb2-xTe3-x,Ag0.81Sb1.19Te2.19,Ag0.81Sb1.19Te2.19,0,No,,,,,,Table 1,,,300.0,263.0,S/cm
1-s2.0-S0925838810006912-main.pdf,10.1016/j.jallcom.2010.03.170,AgxSb2-xTe3-x,Ag0.84Sb1.16Te2.16,Ag0.84Sb1.16Te2.16,0,No,,,,,,Table 1,,,300.0,269.0,S/cm
1-s2.0-S0925838810006912-main.pdf,10.1016/j.jallcom.2010.03.170,AgxSb2-xTe3-x,Ag0.87Sb1.13Te2.13,Ag0.87Sb1.13Te2.13,0,No,,,,,,Table 1,,,300.0,279.0,S/cm
1-s2.0-S0925838810006912-main.pdf,10.1016/j.jallcom.2010.03.170,AgxSb2-xTe3-x,Ag0.90Sb1.10Te2.10,Ag0.90Sb1.10Te2.10,0,No,,,,,,Table 1,,,300.0,233.0,S/cm
1-s2.0-S0925838810006912-main.pdf,10.1016/j.jallcom.2010.03.170,AgxSb2-xTe3-x,Ag0.93Sb1.07Te2.07,Ag0.93Sb1.07Te2.07,0,No,,,,,,Table 1,,,300.0,189.0,S/cm
1-s2.0-S0925838810006912-main.pdf,10.1016/j.jallcom.2010.03.170,AgxSb2-xTe3-x,Ag0.78Sb1.22Te2.22,Ag0.78Sb1.22Te2.22,1,No,Ag,0.78,Ag,,Ag (0.78) @ Ag site,table,Table 1,Room temperature value,,348.0,S/cm
1-s2.0-S0925838810006912-main.pdf,10.1016/j.jallcom.2010.03.170,AgxSb2-xTe3-x,Ag0.81Sb1.19Te2.19,Ag0.81Sb1.19Te2.19,1,No,Ag,0.81,Ag,,Ag (0.81) @ Ag site,table,Table 1,Room temperature value,,263.0,S/cm
1-s2.0-S0925838810006912-main.pdf,10.1016/j.jallcom.2010.03.170,AgxSb2-xTe3-x,Ag0.84Sb1.16Te2.16,Ag0.84Sb1.16Te2.16,1,No,Ag,0.84,Ag,,Ag (0.84) @ Ag site,table,Table 1,Room temperature value,,269.0,S/cm
1-s2.0-S0925838810006912-main.pdf,10.1016/j.jallcom.2010.03.170,AgxSb2-xTe3-x,Ag0.87Sb1.13Te2.13,Ag0.87Sb1.13Te2.13,1,No,Ag,0.87,Ag,,Ag (0.87) @ Ag site,table,Table 1,Room temperature value,,279.0,S/cm
1-s2.0-S0925838810006912-main.pdf,10.1016/j.jallcom.2010.03.170,AgxSb2-xTe3-x,Ag0.90Sb1.10Te2.10,Ag0.90Sb1.10Te2.10,1,No,Ag,0.90,Ag,,Ag (0.90) @ Ag site,table,Table 1,Room temperature value,,233.0,S/cm
1-s2.0-S0925838810006912-main.pdf,10.1016/j.jallcom.2010.03.170,AgxSb2-xTe3-x,Ag0.93Sb1.07Te2.07,Ag0.93Sb1.07Te2.07,1,No,Ag,0.93,Ag,,Ag (0.93) @ Ag site,table,Table 1,Room temperature value,,189.0,S/cm
1-s2.0-S092583882601529X-main.pdf,10.1016/j.jallcom.2026.187461,Te(1-x)(AgSbTe2)x,"Te(1-x)(AgSbTe2)x, x=0.005",Te0.995(AgSbTe2)0.005,2,Yes,Ag,0.5%,unclear,Sb (0.5%) @ Te,Ag (0.5%) @ unclear site; Sb (0.5%) @ Te site,body text,,Reported as resistivity,300.0,454.5454545454545,S/cm
1-s2.0-S092583882601529X-main.pdf,10.1016/j.jallcom.2026.187461,Te(1-x)(AgSbTe2)x,"Te(1-x)(AgSbTe2)x, x=0.005",Te0.995(AgSbTe2)0.005,2,Yes,Ag,0.5%,unclear,Sb (0.5%) @ Te,Ag (0.5%) @ unclear site; Sb (0.5%) @ Te site,body text,,Reported as resistivity,650.0,125.0,S/cm
1-s2.0-S092583882601529X-main.pdf,10.1016/j.jallcom.2026.187461,Te(1-x)(AgSbTe2)x,x=0%,Te,0,No,,,,,,figure,Fig. 2b,"Visually estimated from Fig. 2b (plotted as resistivity, 1/rho)",300.0,5000.0,S/cm
1-s2.0-S1359645412005150-main.pdf,10.1016/j.actamat.2012.07.057,AgSbTe2,Pb-doped AgSbTe2 (3 at.%),PbxAgSbTe2 (x=0.03),1,No,Pb,3 at.%,unclear,,Pb (3 at.%) @ unclear site,figure,,Visually estimated from Fig. 5b (Resistivity),300.0,16.666666666666668,S/cm
