dopant_host_charge_mismatch,dopant_concentration,temperature_K,MagpieData avg_dev NUnfilled,MagpieData mean GSvolume_pa,MagpieData maximum MendeleevNumber,MagpieData maximum Electronegativity,MagpieData mean SpaceGroupNumber,frac_Sb,frac s valence electrons,dopant_host_radius_mismatch,target_value
0.0,0.78,300.0,0.5179128950382964,30.43014218007725,90.0,2.1,169.54028436018956,0.2890995260663506,0.1227564102564102,0.0,348.0
0.0,0.81,300.0,0.516504234995244,30.290071599027925,90.0,2.1,170.08830548926016,0.2840095465393795,0.1224919093851132,0.0,263.0
0.0,0.84,300.0,0.5147928994082841,30.147980769213454,90.0,2.1,170.64423076923077,0.2788461538461538,0.1222222222222222,0.0,269.0
0.0,0.87,300.0,0.5127660946596391,30.00382566584237,90.0,2.1,171.20823244552057,0.2736077481840193,0.1219471947194719,0.0,279.0
0.0,0.9,300.0,0.5104104699583581,29.857560975592683,90.0,2.1,171.78048780487805,0.2682926829268293,0.1216666666666666,0.0,233.0
0.0,0.93,300.0,0.5077120900216722,29.709140049123093,90.0,2.1,172.36117936117935,0.2628992628992629,0.1213804713804713,0.0,189.0
0.0,0.9,300.0,0.5104104699583581,29.857560975592683,90.0,2.1,171.78048780487805,0.2682926829268293,0.1216666666666666,0.0,250.0
0.0,0.9,500.0,0.5104104699583581,29.857560975592683,90.0,2.1,171.78048780487805,0.2682926829268293,0.1216666666666666,0.0,200.0
2.0,0.009,300.0,0.50222975,29.319899166649996,90.0,2.1,173.88275,0.24775,0.1206093437305914,0.39,1378.69
2.0,0.017,300.0,0.5041777500000001,29.28943916665,90.0,2.1,174.00074999999998,0.24575,0.1205378719878478,0.39,1932.79
2.0,0.059,300.0,0.5138797500000001,29.129524166649997,90.0,2.1,174.62025,0.23525,0.1201613461671629,0.39,242.97
2.0,0.07,300.0,0.516275,29.087641666649997,90.0,2.1,174.7825,0.2325,0.12006237006237,0.39,135.77
0.0,0.9,300.0,0.5,32.3986666666425,90.0,2.1,159.25,0.15,0.1282051282051282,0.1300000000000001,20.0
0.0,0.2,300.0,0.5,30.138833333315,90.0,2.1,158.55,0.15,0.1136363636363636,0.1300000000000001,10.0
0.0,0.3,300.0,0.5234979179060084,30.1169918699,90.0,2.1,160.2682926829268,0.1463414634146341,0.1150729335494327,0.1300000000000001,10.0
0.0,0.4,300.0,0.5234979179060084,30.431951219492685,90.0,2.1,160.3658536585366,0.1463414634146341,0.1169686985172981,0.1300000000000001,10.0
1.0,0.0,300.0,0.5,29.35416666665,90.0,2.1,173.75,0.25,0.1206896551724138,0.43,200.0
1.0,0.03,300.0,0.5112500000000002,29.328291666649996,90.0,2.33,174.1925,0.2425,0.1198835417023462,0.43,166.66666666666666
0.0,0.2,300.0,0.5,28.911999999985,90.0,2.55,166.85,0.25,0.1206896551724138,0.2299999999999997,140.0
0.0,0.01,298.0,0.5224999999999999,29.35617916665,90.0,2.1,173.82,0.2475,0.1209398756046993,0.14,209.0
0.0,0.02,525.0,0.5450000000000002,29.358191666649997,90.0,2.1,173.89,0.245,0.121191135734072,0.14,292.0
0.0,0.01,300.0,0.5224999999999999,29.35617916665,90.0,2.1,173.82,0.2475,0.1209398756046993,0.14,200.0
0.0,0.02,300.0,0.5450000000000002,29.358191666649997,90.0,2.1,173.89,0.245,0.121191135734072,0.14,210.0
0.0,0.03,300.0,0.5674999999999999,29.36020416665,90.0,2.1,173.95999999999998,0.2425,0.121443442054129,0.14,205.0
1.0,1.0,300.0,0.9963110183305216,31.943333333315508,90.0,2.33,176.3475935828877,0.0106951871657754,0.1012345679012345,0.04,1000.0
1.0,1.0,700.0,0.9963110183305216,31.943333333315508,90.0,2.33,176.3475935828877,0.0106951871657754,0.1012345679012345,0.04,200.0
0.0,0.1,300.0,0.5,29.02087760415125,90.0,2.58,169.275,0.25,0.1217391304347826,0.2299999999999997,244.0
0.0,0.05,300.0,0.5000000000000001,29.131419270817503,90.0,2.58,171.00000000000003,0.25,0.1217391304347826,0.2299999999999997,110.0
0.0,0.1,300.0,0.5,29.02087760415125,90.0,2.58,169.275,0.25,0.1217391304347826,0.2299999999999997,240.0
0.0,0.1,300.0,0.5,28.908671874985,90.0,2.58,168.25,0.25,0.1228070175438596,0.2299999999999997,190.0
0.0,0.04,300.0,0.5244000000000001,29.37976666665,90.0,2.1,174.34,0.24,0.1206064782908339,0.1079999999999999,278.0
0.0,0.02,300.0,0.5123500000000001,29.366966666649997,90.0,2.1,174.04500000000002,0.245,0.1206480523957256,0.1079999999999999,180.0
0.0,0.02,400.0,0.5123500000000001,29.366966666649997,90.0,2.1,174.04500000000002,0.245,0.1206480523957256,0.1079999999999999,200.0
