source_pdf,doi,base_composition,sample_id,full_formula,num_dopants,is_codoped,primary_dopant_element,primary_dopant_pct,primary_dopant_site,codopant_elements,all_dopants_detail,property,value,unit,temperature_value,temperature_unit,source_type,source_detail,notes,property_key,target_value,temperature_K
1-s2.0-S0013468616305072-main.pdf,10.1016/j.electacta.2016.02.206,AgSbTe2,Ag25Sb25Te50 (stoichiometric nanocrystalline thin film),Ag25Sb25Te50,0,No,,,,,,power factor,553,uW/cm.K2,room temperature,,text,"Abstract, Section 3, Section 4",,power factor,5530.0,
1-s2.0-S0013468616305072-main.pdf,10.1016/j.electacta.2016.02.206,AgSbTe2,AgxSbyTez (nanocrystalline thin films range),AgxSbyTez,0,No,,,,,,power factor,90–553,uW/cm.K2,room temperature,,text,Abstract,,power factor,3215.0,
1-s2.0-S0013468616305072-main.pdf,10.1016/j.electacta.2016.02.206,AgSbTe2,"Bulk AgSbTe2 [Table 1, Ref 12]",AgSbTe2,0,No,,,,,,power factor,385.33,uW/cm.K2,room temperature,,table,Table 1,,power factor,3853.3,
1-s2.0-S0013468616305072-main.pdf,10.1016/j.electacta.2016.02.206,AgSbTe2,"Bulk Ag20.2Sb27.9Te51.9 [Table 1, Ref 17]",Ag20.2Sb27.9Te51.9,0,No,,,,,,power factor,2340.97,uW/cm.K2,room temperature,,table,Table 1,,power factor,23409.7,
1-s2.0-S2352847816300041-main.pdf,10.1016/j.jmat.2016.05.001,SnCd0.05Te-x%AgSbSe2,SnCd0.05Te,SnCd0.05Te,1,No,Cd,5%,unclear,,Cd (5%) @ unclear site,power factor,21,uW/cm.K2,700,K,text,"Page 4, Section 3",,power factor,21000.0,700.0
1-s2.0-S254252932030122X-main.pdf,10.1016/j.mtphys.2020.100298,Sn1-2x(AgSb)xSe1-2xTe2x,x=0.25,Sn0.5Ag0.25Sb0.25Se0.5Te0.5,3,Yes,Ag,x=0.25,Ag,Sb (x=0.25) @ Sb; Te (2x=0.50) @ Te,Ag (x=0.25) @ Ag site; Sb (x=0.25) @ Sb site; Te (2x=0.50) @ Te site,power factor,5.2,uW/cm.K2,300,K,body text,,,power factor,5200.000000000001,300.0
1-s2.0-S254252932030122X-main.pdf,10.1016/j.mtphys.2020.100298,Sn1-2x(AgSb)xSe1-2xTe2x,x=0.25,Sn0.5Ag0.25Sb0.25Se0.5Te0.5,3,Yes,Ag,x=0.25,Ag,Sb (x=0.25) @ Sb; Te (2x=0.50) @ Te,Ag (x=0.25) @ Ag site; Sb (x=0.25) @ Sb site; Te (2x=0.50) @ Te site,power factor,11.3,uW/cm.K2,820,K,body text,,,power factor,11300.000000000002,820.0
Band convergence and nanostructure modulations lead to high thermoelectric performance in SnPb0.04Te-y_ AgSbTe2.pdf,10.1016/j.mtphys.2021.100505,SnPb0.04Te-y%AgSbTe2,SnPb0.04Te-12%AgSbTe2,SnPb0.04Te-12%AgSbTe2,2,Yes,Ag,12%,Sn,Sb (12%) @ Sn,Ag (12%) @ Sn site; Sb (12%) @ Sn site,power factor,25.5,uW/cm.K2,823,K,body text,"Page 2, Section 2",,power factor,25500.000000000004,823.0
Enhanced thermoelectric performance in Na-doped p-type nonstoichiometric AgSbTe2 compound.pdf,10.1016/j.jallcom.2010.10.131,AgSbTe2,Na0.02Ag0.98SbTe2,Na0.02Ag0.98SbTe2,1,No,Na,0.02,Ag,,Na (0.02) @ Ag site,power factor,1.27,uW/cm.K2,300,K,body text,,"Value is for Ag0.98Na0.02SbTe2.02, not this sample.",power factor,12700.000000000002,300.0
Enhanced thermoelectric performance in Na-doped p-type nonstoichiometric AgSbTe2 compound.pdf,10.1016/j.jallcom.2010.10.131,AgSbTe2,Ag0.98Na0.02SbTe2.02,Ag0.98Na0.02SbTe2.02,1,No,Na,0.02,Ag,,Na (0.02) @ Ag site,power factor,1.27,uW/cm.K2,300,K,body text,,,power factor,12700.000000000002,300.0
Low solubility and transport consequences of Eu addition in AgSbTe2 thermoelectrics.pdf,10.1016/j.physb.2026.418712,AgSbTe2,0 wt% Eu,AgSbTe2,0,No,,,,,,power factor,0.8,uW/cm.K2,300,K,figure,Fig. 3c,Visually estimated from Fig. 3c,power factor,8000.0,300.0
Low solubility and transport consequences of Eu addition in AgSbTe2 thermoelectrics.pdf,10.1016/j.physb.2026.418712,AgSbTe2,0 wt% Eu,AgSbTe2,0,No,,,,,,power factor,0.9,uW/cm.K2,500,K,figure,Fig. 3c,Visually estimated from Fig. 3c,power factor,9000.000000000002,500.0
Low solubility and transport consequences of Eu addition in AgSbTe2 thermoelectrics.pdf,10.1016/j.physb.2026.418712,AgSbTe2,4 wt% Eu,AgSbTe2:Eu,1,No,Eu,4 wt%,unclear,,Eu (4 wt%) @ unclear site,power factor,0.2,uW/cm.K2,300,K,figure,Fig. 3c,Visually estimated from Fig. 3c,power factor,2000.0,300.0
Low solubility and transport consequences of Eu addition in AgSbTe2 thermoelectrics.pdf,10.1016/j.physb.2026.418712,AgSbTe2,4 wt% Eu,AgSbTe2:Eu,1,No,Eu,4 wt%,unclear,,Eu (4 wt%) @ unclear site,power factor,0.3,uW/cm.K2,500,K,figure,Fig. 3c,Visually estimated from Fig. 3c,power factor,3000.0,500.0
c8ta01393d.pdf,10.1039/c8ta01393d,GeSe-AgSbTe2,x=0.1,GeSeAg0.1Sb0.1Te0.2,3,Yes,Ag,10%,unclear,Sb (10%) @ unclear; Te (20%) @ unclear,Ag (10%) @ unclear site; Sb (10%) @ unclear site; Te (20%) @ unclear site,power factor,684,uW/cm.K2,301,K,body text,,,power factor,6840.000000000001,301.0
c8ta01393d.pdf,10.1039/c8ta01393d,GeSe-AgSbTe2,x=0.2,GeSeAg0.2Sb0.2Te0.4,3,Yes,Ag,20%,unclear,Sb (20%) @ unclear; Te (40%) @ unclear,Ag (20%) @ unclear site; Sb (20%) @ unclear site; Te (40%) @ unclear site,power factor,1440,uW/cm.K2,659,K,body text,,,power factor,14400.0,659.0
cm5c01646.pdf,10.1021/acs.chemmater.5c01646,AgSbTe2,AST,AgSbTe2,0,No,,,,,,power factor,0.69,uW/cm.K2,300,K,body text,,,power factor,6900.0,300.0
cm5c01646.pdf,10.1021/acs.chemmater.5c01646,AgSbTe2,AST + 0.025,AgSbTe2 + 0.025 wt % B,1,No,B,0.025 wt %,unclear,,B (0.025 wt %) @ unclear site,power factor,1.05,uW/cm.K2,300,K,body text,,,power factor,10500.0,300.0
cm5c01646.pdf,10.1021/acs.chemmater.5c01646,AgSbTe2,NS-AST + 0.025,Ag0.91Sb1.09Te2.09 + 0.025 wt % B,1,No,B,0.025 wt %,unclear,,B (0.025 wt %) @ unclear site,power factor,1.22,uW/cm.K2,300-625,K,body text,,average value,power factor,12200.0,
d3ee01033c.pdf,10.1039/d3ee01033c,AgSbTe2,AgSbTe2,AgSbTe2,0,No,,,,,,power factor,8,uW/cm.K2,300,K,text,page 7,,power factor,8000.0,300.0
d3ee01033c.pdf,10.1039/d3ee01033c,AgSbTe2,Ag0.98SbTe2,Ag0.98SbTe2,1,No,Ag vacancy,2 mol%,Ag,,Ag vacancy (2 mol%) @ Ag site,power factor,13,uW/cm.K2,300,K,text,page 7,,power factor,13000.000000000002,300.0
