source_pdf,doi,base_composition,sample_id,full_formula,num_dopants,is_codoped,primary_dopant_element,primary_dopant_pct,primary_dopant_site,codopant_elements,all_dopants_detail,source_type,source_detail,notes,temperature_K,target_value,unit
1-s2.0-S0167577X08002243-main.pdf,10.1016/j.matlet.2008.02.039,AgSbTe2,"(AgSbTe2)1-x(Ag2Te)x, x=0",AgSbTe2,1,No,Ag2Te,x=0,unclear,,Ag2Te (x=0) @ unclear site,figure,Fig. 4,Visually estimated from Fig. 4 at 2.0 GPa,,3.5,uW/cm.K2
1-s2.0-S0167577X08002243-main.pdf,10.1016/j.matlet.2008.02.039,AgSbTe2,"(AgSbTe2)1-x(Ag2Te)x, x=0.05",(AgSbTe2)0.95(Ag2Te)0.05,1,No,Ag2Te,x=0.05,unclear,,Ag2Te (x=0.05) @ unclear site,figure,Fig. 4,Visually estimated from Fig. 4 at 2.0 GPa,,4.2,uW/cm.K2
1-s2.0-S0167577X08002243-main.pdf,10.1016/j.matlet.2008.02.039,AgSbTe2,"(AgSbTe2)1-x(Ag2Te)x, x=0.1",(AgSbTe2)0.9(Ag2Te)0.1,1,No,Ag2Te,x=0.1,unclear,,Ag2Te (x=0.1) @ unclear site,figure,Fig. 4,Visually estimated from Fig. 4 at 2.0 GPa,,3.8000000000000003,uW/cm.K2
1-s2.0-S0167577X08002243-main.pdf,10.1016/j.matlet.2008.02.039,AgSbTe2,"(AgSbTe2)1-x(Ag2Te)x, x=0.2",(AgSbTe2)0.8(Ag2Te)0.2,1,No,Ag2Te,x=0.2,unclear,,Ag2Te (x=0.2) @ unclear site,figure,Fig. 4,Visually estimated from Fig. 4 at 2.0 GPa,,3.2,uW/cm.K2
1-s2.0-S0925838810006912-main.pdf,10.1016/j.jallcom.2010.03.170,AgxSb2-xTe3-x,Ag0.84Sb1.16Te2.16,Ag0.84Sb1.16Te2.16,0,No,,,,,,body text,,,300.0,23.500000000000004,uW/cm.K2
1-s2.0-S092583882601529X-main.pdf,10.1016/j.jallcom.2026.187461,Te(1-x)(AgSbTe2)x,"Te(1-x)(AgSbTe2)x, x=0.005",Te0.995(AgSbTe2)0.005,2,Yes,Ag,0.5%,unclear,Sb (0.5%) @ Te,Ag (0.5%) @ unclear site; Sb (0.5%) @ Te site,body text,,,475.0,13.8,uW/cm.K2
1-s2.0-S092583882601529X-main.pdf,10.1016/j.jallcom.2026.187461,Te(1-x)(AgSbTe2)x,x=0%,Te,0,No,,,,,,figure,Fig. 2c,Visually estimated from Fig. 2c,300.0,2.0,uW/cm.K2
1-s2.0-S092583882601529X-main.pdf,10.1016/j.jallcom.2026.187461,Te(1-x)(AgSbTe2)x,x=0.5%,Te0.995(AgSbTe2)0.005,2,Yes,Ag,0.5%,unclear,Sb (0.5%) @ unclear,Ag (0.5%) @ unclear site; Sb (0.5%) @ unclear site,figure,Fig. 2c,Visually estimated from Fig. 2c,450.0,13.8,uW/cm.K2
1-s2.0-S1359645421008223-main.pdf,10.1016/j.actamat.2021.117443,AgSbTe2,HT673,AgSb0.998Ce0.002Te2,1,No,Ce,0.2 mol%,unclear,,Ce (0.2 mol%) @ unclear site,body text,,,298.0,9.600000000000001,uW/cm.K2
1-s2.0-S1359645421008223-main.pdf,10.1016/j.actamat.2021.117443,AgSbTe2,HT673,AgSb0.998Ce0.002Te2,1,No,Ce,0.2 mol%,unclear,,Ce (0.2 mol%) @ unclear site,body text,,,573.0,13.899999999999999,uW/cm.K2
1-s2.0-S1359645421008223-main.pdf,10.1016/j.actamat.2021.117443,AgSbTe2,HT673,AgSb0.998Ce0.002Te2,1,No,Ce,0.2 mol%,unclear,,Ce (0.2 mol%) @ unclear site,body text,,,673.0,14.1,uW/cm.K2
1-s2.0-S1359645422000684-main.pdf,10.1016/j.actamat.2022.117681,(Sn1-xPbxSe)0.6(AgSbTe2)0.4,(SnSe)0.6(AgSbTe2)0.4,(SnSe)0.6(AgSbTe2)0.4,0,No,,,,,,body text,,,723.0,13.0,uW/cm.K2
1-s2.0-S1359645422000684-main.pdf,10.1016/j.actamat.2022.117681,(Sn1-xPbxSe)0.6(AgSbTe2)0.4,(SnSe)0.6(AgSbTe2)0.4,(SnSe)0.6(AgSbTe2)0.4,0,No,,,,,,body text,,,300.0,9.0,uW/cm.K2
1-s2.0-S1359645422000684-main.pdf,10.1016/j.actamat.2022.117681,(Sn1-xPbxSe)0.6(AgSbTe2)0.4,"(SnSe)1-m(AgSbTe2)m, m=0%",SnSe,0,No,,,,,,figure,,Visually estimated from Fig. 4c,300.0,0.5,uW/cm.K2
1-s2.0-S1359645422000684-main.pdf,10.1016/j.actamat.2022.117681,(Sn1-xPbxSe)0.6(AgSbTe2)0.4,x=0%,"(Sn1-xPbxSe)0.6(AgSbTe2)0.4, x=0",0,No,,,,,,figure,,Visually estimated from Fig. 8f,600.0,12.499999999999998,uW/cm.K2
1-s2.0-S1359645425002769-main.pdf,10.1016/j.actamat.2025.120985,AgSbTe2,QA-AgSbTe2 (A = 0 h),AgSbTe2,0,No,,,,,,body text,,Value for A = 24 h,548.0,8.22,uW/cm.K2
1-s2.0-S1359645425002769-main.pdf,10.1016/j.actamat.2025.120985,AgSbTe2,QA-AgSbTe2 (A = 0 h),AgSbTe2,0,No,,,,,,body text,,Value for A = 0 h,548.0,7.109999999999999,uW/cm.K2
1-s2.0-S1359645425002769-main.pdf,10.1016/j.actamat.2025.120985,AgSbTe2,QA-AgSbTe2 (A = 24 h),AgSbTe2,0,No,,,,,,figure,Fig. 3c,Visually estimated from Fig. 3c,548.0,8.22,uW/cm.K2
1-s2.0-S221128552201196X-main.pdf,10.1016/j.nanoen.2022.108118,AgSbTe2,Slow Cooling,AgSbTe2,0,No,,,,,,figure,,Visually estimated from Fig. 7c,325.0,4.0,uW/cm.K2
1-s2.0-S221128552201196X-main.pdf,10.1016/j.nanoen.2022.108118,AgSbTe2,Slow Cooling,AgSbTe2,0,No,,,,,,figure,,Visually estimated from Fig. 7c,425.0,5.0,uW/cm.K2
1-s2.0-S221128552201196X-main.pdf,10.1016/j.nanoen.2022.108118,AgSbTe2,Slow Cooling,AgSbTe2,0,No,,,,,,figure,,Visually estimated from Fig. 7c,525.0,5.999999999999999,uW/cm.K2
1-s2.0-S221128552201196X-main.pdf,10.1016/j.nanoen.2022.108118,AgSbTe2,Slow Cooling,AgSbTe2,0,No,,,,,,figure,,Visually estimated from Fig. 7c,625.0,6.5,uW/cm.K2
1-s2.0-S221128552201196X-main.pdf,10.1016/j.nanoen.2022.108118,AgSbTe2,Fast Cooling,AgSbTe2,0,No,,,,,,figure,,Visually estimated from Fig. 7c,325.0,7.0,uW/cm.K2
1-s2.0-S221128552201196X-main.pdf,10.1016/j.nanoen.2022.108118,AgSbTe2,Fast Cooling,AgSbTe2,0,No,,,,,,figure,,Visually estimated from Fig. 7c,425.0,7.5,uW/cm.K2
1-s2.0-S221128552201196X-main.pdf,10.1016/j.nanoen.2022.108118,AgSbTe2,Fast Cooling,AgSbTe2,0,No,,,,,,figure,,Visually estimated from Fig. 7c,525.0,7.5,uW/cm.K2
1-s2.0-S221128552201196X-main.pdf,10.1016/j.nanoen.2022.108118,AgSbTe2,Fast Cooling,AgSbTe2,0,No,,,,,,figure,,Visually estimated from Fig. 7c,625.0,6.5,uW/cm.K2
1-s2.0-S221128552201196X-main.pdf,10.1016/j.nanoen.2022.108118,AgSbTe2,Quenched,AgSbTe2,0,No,,,,,,figure,,Visually estimated from Fig. 7c,325.0,8.0,uW/cm.K2
1-s2.0-S221128552201196X-main.pdf,10.1016/j.nanoen.2022.108118,AgSbTe2,Quenched,AgSbTe2,0,No,,,,,,figure,,Visually estimated from Fig. 7c,425.0,11.999999999999998,uW/cm.K2
1-s2.0-S221128552201196X-main.pdf,10.1016/j.nanoen.2022.108118,AgSbTe2,Quenched,AgSbTe2,0,No,,,,,,figure,,Visually estimated from Fig. 7c,525.0,16.0,uW/cm.K2
1-s2.0-S221128552201196X-main.pdf,10.1016/j.nanoen.2022.108118,AgSbTe2,Quenched,AgSbTe2,0,No,,,,,,figure,,Visually estimated from Fig. 7c,625.0,16.0,uW/cm.K2
1-s2.0-S221128552201196X-main.pdf,10.1016/j.nanoen.2022.108118,AgSbTe2,AgSbTe2,AgSbTe2,0,No,,,,,,figure,Fig. 8c,Visually estimated from Fig. 8c.,473.0,13.200000000000001,uW/cm.K2
1-s2.0-S221128552201196X-main.pdf,10.1016/j.nanoen.2022.108118,AgSbTe2,AgSbTe2,AgSbTe2,0,No,,,,,,figure,Fig. 8f,Visually estimated from Fig. 8f.,623.0,19.2,uW/cm.K2
1-s2.0-S2352847816300041-main.pdf,10.1016/j.jmat.2016.05.001,SnCd0.05Te-x%AgSbSe2,SnCd0.05Te,SnCd0.05Te,1,No,Cd,0.05,unclear,,Cd (0.05) @ unclear site,figure,Fig. 3d,Visually estimated from Fig. 3d,300.0,4.0,uW/cm.K2
1-s2.0-S2352847816300041-main.pdf,10.1016/j.jmat.2016.05.001,SnCd0.05Te-x%AgSbSe2,SnCd0.05Te-3%AgSbSe2,SnCd0.05Te-3%AgSbSe2,2,Yes,Cd,0.05,unclear,AgSbSe2 (3%) @ unclear,Cd (0.05) @ unclear site; AgSbSe2 (3%) @ unclear site,figure,Fig. 3d,Visually estimated from Fig. 3d,300.0,5.0,uW/cm.K2
1-s2.0-S235284782200096X-main.pdf,10.1016/j.jmat.2022.07.005,AgSbTe2,Ag0.9Sb1.1Te2.1,Ag0.9Sb1.1Te2.1,3,Yes,Ag,0.9,Ag,Sb (1.1) @ Sb; Te (2.1) @ Te,Ag (0.9) @ Ag site; Sb (1.1) @ Sb site; Te (2.1) @ Te site,figure,,Visually estimated from Fig. 4c,300.0,2.0,uW/cm.K2
1-s2.0-S235284782200096X-main.pdf,10.1016/j.jmat.2022.07.005,AgSbTe2,Ag0.9Sb1.1Te2.1,Ag0.9Sb1.1Te2.1,3,Yes,Ag,0.9,Ag,Sb (1.1) @ Sb; Te (2.1) @ Te,Ag (0.9) @ Ag site; Sb (1.1) @ Sb site; Te (2.1) @ Te site,figure,,Visually estimated from Fig. 4c,500.0,12.0,uW/cm.K2
1-s2.0-S254252932030122X-main.pdf,10.1016/j.mtphys.2020.100298,Sn1-2x(AgSb)xSe1-2xTe2x,x=0.25,Sn0.5Ag0.25Sb0.25Se0.5Te0.5,3,Yes,Ag,0.25,multiple sites,Sb (0.25) @ multiple sites; Te (0.5) @ multiple sites,Ag (0.25) @ multiple sites site; Sb (0.25) @ multiple sites site; Te (0.5) @ multiple sites site,text,body text,,820.0,11.3,uW/cm.K2
1-s2.0-S2542529325000483-main.pdf,10.1016/j.mtphys.2025.101692,AgSbTe2,"(AgSb1-yCdyTe2)0.9(Bi2Te3)0.1, y=0.00",(AgSbTe2)0.9(Bi2Te3)0.1,2,Yes,Bi,0.1,multiple sites,Cd (y=0.00) @ Sb,Bi (0.1) @ multiple sites site; Cd (y=0.00) @ Sb site,figure,,Visually estimated from Fig. 3c,300.0,3.5,uW/cm.K2
1-s2.0-S2542529325000483-main.pdf,10.1016/j.mtphys.2025.101692,AgSbTe2,"(AgSb1-yCdyTe2)0.9(Bi2Te3)0.1, y=0.00",(AgSbTe2)0.9(Bi2Te3)0.1,2,Yes,Bi,0.1,multiple sites,Cd (y=0.00) @ Sb,Bi (0.1) @ multiple sites site; Cd (y=0.00) @ Sb site,figure,,Visually estimated from Fig. 3c,450.0,6.5,uW/cm.K2
1-s2.0-S2542529325000483-main.pdf,10.1016/j.mtphys.2025.101692,AgSbTe2,"(AgSb1-yCdyTe2)0.9(Bi2Te3)0.1, y=0.02",(AgSb0.98Cd0.02Te2)0.9(Bi2Te3)0.1,2,Yes,Bi,0.1,multiple sites,Cd (y=0.02) @ Sb,Bi (0.1) @ multiple sites site; Cd (y=0.02) @ Sb site,figure,,Visually estimated from Fig. 3c,300.0,4.5,uW/cm.K2
1-s2.0-S2542529325000483-main.pdf,10.1016/j.mtphys.2025.101692,AgSbTe2,"(AgSb1-yCdyTe2)0.9(Bi2Te3)0.1, y=0.02",(AgSb0.98Cd0.02Te2)0.9(Bi2Te3)0.1,2,Yes,Bi,0.1,multiple sites,Cd (y=0.02) @ Sb,Bi (0.1) @ multiple sites site; Cd (y=0.02) @ Sb site,figure,,Visually estimated from Fig. 3c,450.0,8.5,uW/cm.K2
2305.19217v1.pdf,,Sb2Te3,ST,Sb2Te3,0,No,,,,,,text,body text,,385.0,49.1,uW/cm.K2
2305.19217v1.pdf,,Sb2Te3,AST4,Sb2Te3-AgSbTe2 (x=7.00),1,No,Ag,7.00 atomic percentage,multiple sites,,Ag (7.00 atomic percentage) @ multiple sites site,text,body text,,435.0,71.7,uW/cm.K2
2305.19217v1.pdf,,Sb2Te3,ST,Sb2Te3,0,No,,,,,,table,Table 1,Room temperature value,,29.6,uW/cm.K2
2305.19217v1.pdf,,Sb2Te3,AST1,Sb2Te3-Ag0.9,1,No,Ag,0.9 atomic %,Sb,,Ag (0.9 atomic %) @ Sb site,table,Table 1,Room temperature value,,20.0,uW/cm.K2
2305.19217v1.pdf,,Sb2Te3,AST2,Sb2Te3-Ag1.7,1,No,Ag,1.7 atomic %,Sb,,Ag (1.7 atomic %) @ Sb site,table,Table 1,Room temperature value,,19.700000000000003,uW/cm.K2
