source_pdf,doi,base_composition,sample_id,full_formula,num_dopants,is_codoped,primary_dopant_element,primary_dopant_pct,primary_dopant_site,codopant_elements,all_dopants_detail,property,value,unit,temperature_value,temperature_unit,source_type,source_detail,notes,property_key,target_value,temperature_K
1-s2.0-S0013468616305072-main.pdf,10.1016/j.electacta.2016.02.206,AgSbTe2,Ag15Sb27Te58 (amorphous thin film),Ag15Sb27Te58,0,No,,,,,,Seebeck coefficient,1270,uV/K,room temperature,,text,body text Section 3,,seebeck coefficient,1270000.0,
1-s2.0-S0013468616305072-main.pdf,10.1016/j.electacta.2016.02.206,AgSbTe2,AgxSbyTez (nanocrystalline thin films range),AgxSbyTez,0,No,,,,,,Seebeck coefficient,170 to 405,uV/K,room temperature,,text,body text Section 3,,seebeck coefficient,287500.00000000006,
1-s2.0-S0013468616305072-main.pdf,10.1016/j.electacta.2016.02.206,AgSbTe2,"Bulk AgSbTe2 [Table 1, Ref 12]",AgSbTe2,0,No,,,,,,Seebeck coefficient,170,uV/K,room temperature,,table,Table 1,,seebeck coefficient,170000.0,
1-s2.0-S0013468616305072-main.pdf,10.1016/j.electacta.2016.02.206,AgSbTe2,"Bulk Ag20.2Sb27.9Te51.9 [Table 1, Ref 17]",Ag20.2Sb27.9Te51.9,0,No,,,,,,Seebeck coefficient,295,uV/K,room temperature,,table,Table 1,,seebeck coefficient,295000.0,
1-s2.0-S0925838819316007-main.pdf,10.1016/j.jallcom.2019.04.294,TlSbTe2,Tl0.98In0.02SbTe2,Tl0.98In0.02SbTe2,1,No,In,0.02,Tl,,In (0.02) @ Tl site,Seebeck coefficient,141,uV/K,372,K,body text,,,seebeck coefficient,141000.0,372.0
1-s2.0-S0925838819316007-main.pdf,10.1016/j.jallcom.2019.04.294,TlSbTe2,Tl0.98In0.02SbTe2,Tl0.98In0.02SbTe2,1,No,In,0.02,Tl,,In (0.02) @ Tl site,Seebeck coefficient,227,uV/K,623,K,body text,,,seebeck coefficient,227000.0,623.0
1-s2.0-S0925838819316007-main.pdf,10.1016/j.jallcom.2019.04.294,TlSbTe2,TlSb0.98In0.02Te2,TlSb0.98In0.02Te2,1,No,In,0.02,Sb,,In (0.02) @ Sb site,Seebeck coefficient,113,uV/K,not specified,K,body text,,,seebeck coefficient,113000.0,
1-s2.0-S0925838819316007-main.pdf,10.1016/j.jallcom.2019.04.294,TlSbTe2,TlSb0.98In0.02Te2,TlSb0.98In0.02Te2,1,No,In,0.02,Sb,,In (0.02) @ Sb site,Seebeck coefficient,235,uV/K,not specified,K,body text,,,seebeck coefficient,235000.0,
1-s2.0-S0925838819316007-main.pdf,10.1016/j.jallcom.2019.04.294,TlSbTe2,Tl0.98Yb0.02SbTe2,Tl0.98Yb0.02SbTe2,1,No,Yb,0.02,Tl,,Yb (0.02) @ Tl site,Seebeck coefficient,213,uV/K,625,K,body text,,,seebeck coefficient,213000.0,625.0
1-s2.0-S254252932030122X-main.pdf,10.1016/j.mtphys.2020.100298,Sn1-2x(AgSb)xSe1-2xTe2x,x=0.15,Sn0.7Ag0.15Sb0.15Se0.7Te0.3,3,Yes,Ag,x=0.15,Ag,Sb (x=0.15) @ Sb; Te (2x=0.30) @ Te,Ag (x=0.15) @ Ag site; Sb (x=0.15) @ Sb site; Te (2x=0.30) @ Te site,Seebeck coefficient,72,uV/K,300,K,body text,,,seebeck coefficient,72000.00000000001,300.0
1-s2.0-S254252932030122X-main.pdf,10.1016/j.mtphys.2020.100298,Sn1-2x(AgSb)xSe1-2xTe2x,x=0.15,Sn0.7Ag0.15Sb0.15Se0.7Te0.3,3,Yes,Ag,x=0.15,Ag,Sb (x=0.15) @ Sb; Te (2x=0.30) @ Te,Ag (x=0.15) @ Ag site; Sb (x=0.15) @ Sb site; Te (2x=0.30) @ Te site,Seebeck coefficient,137,uV/K,790,K,body text,,,seebeck coefficient,137000.0,790.0
1-s2.0-S254252932030122X-main.pdf,10.1016/j.mtphys.2020.100298,Sn1-2x(AgSb)xSe1-2xTe2x,x=0.15,Sn0.7Ag0.15Sb0.15Se0.7Te0.3,3,Yes,Ag,x=0.15,Ag,Sb (x=0.15) @ Sb; Te (2x=0.30) @ Te,Ag (x=0.15) @ Ag site; Sb (x=0.15) @ Sb site; Te (2x=0.30) @ Te site,Seebeck coefficient,136,uV/K,820,K,body text,,,seebeck coefficient,136000.0,820.0
