source_pdf,doi,base_composition,sample_id,full_formula,num_dopants,is_codoped,primary_dopant_element,primary_dopant_pct,primary_dopant_site,codopant_elements,all_dopants_detail,source_type,source_detail,notes,temperature_K,target_value,unit
1-s2.0-S0167577X08002243-main.pdf,10.1016/j.matlet.2008.02.039,AgSbTe2,"(AgSbTe2)1-x(Ag2Te)x, x=0",AgSbTe2,1,No,Ag2Te,x=0,unclear,,Ag2Te (x=0) @ unclear site,figure,Fig. 2,Visually estimated from Fig. 2 at 2.0 GPa,,140.0,uV/K
1-s2.0-S0167577X08002243-main.pdf,10.1016/j.matlet.2008.02.039,AgSbTe2,"(AgSbTe2)1-x(Ag2Te)x, x=0",AgSbTe2,1,No,Ag2Te,x=0,unclear,,Ag2Te (x=0) @ unclear site,figure,Fig. 2,Visually estimated from Fig. 2 at 4.5 GPa,,80.0,uV/K
1-s2.0-S0167577X08002243-main.pdf,10.1016/j.matlet.2008.02.039,AgSbTe2,"(AgSbTe2)1-x(Ag2Te)x, x=0.05",(AgSbTe2)0.95(Ag2Te)0.05,1,No,Ag2Te,x=0.05,unclear,,Ag2Te (x=0.05) @ unclear site,figure,Fig. 2,Visually estimated from Fig. 2 at 2.0 GPa,,131.99999999999997,uV/K
1-s2.0-S0167577X08002243-main.pdf,10.1016/j.matlet.2008.02.039,AgSbTe2,"(AgSbTe2)1-x(Ag2Te)x, x=0.05",(AgSbTe2)0.95(Ag2Te)0.05,1,No,Ag2Te,x=0.05,unclear,,Ag2Te (x=0.05) @ unclear site,figure,Fig. 2,Visually estimated from Fig. 2 at 4.5 GPa,,75.0,uV/K
1-s2.0-S0167577X08002243-main.pdf,10.1016/j.matlet.2008.02.039,AgSbTe2,"(AgSbTe2)1-x(Ag2Te)x, x=0.1",(AgSbTe2)0.9(Ag2Te)0.1,1,No,Ag2Te,x=0.1,unclear,,Ag2Te (x=0.1) @ unclear site,figure,Fig. 2,Visually estimated from Fig. 2 at 2.0 GPa,,119.99999999999999,uV/K
1-s2.0-S0167577X08002243-main.pdf,10.1016/j.matlet.2008.02.039,AgSbTe2,"(AgSbTe2)1-x(Ag2Te)x, x=0.1",(AgSbTe2)0.9(Ag2Te)0.1,1,No,Ag2Te,x=0.1,unclear,,Ag2Te (x=0.1) @ unclear site,figure,Fig. 2,Visually estimated from Fig. 2 at 4.5 GPa,,65.0,uV/K
1-s2.0-S0167577X08002243-main.pdf,10.1016/j.matlet.2008.02.039,AgSbTe2,"(AgSbTe2)1-x(Ag2Te)x, x=0.2",(AgSbTe2)0.8(Ag2Te)0.2,1,No,Ag2Te,x=0.2,unclear,,Ag2Te (x=0.2) @ unclear site,figure,Fig. 2,Visually estimated from Fig. 2 at 2.0 GPa,,109.99999999999999,uV/K
1-s2.0-S0167577X08002243-main.pdf,10.1016/j.matlet.2008.02.039,AgSbTe2,"(AgSbTe2)1-x(Ag2Te)x, x=0.2",(AgSbTe2)0.8(Ag2Te)0.2,1,No,Ag2Te,x=0.2,unclear,,Ag2Te (x=0.2) @ unclear site,figure,Fig. 2,Visually estimated from Fig. 2 at 4.5 GPa,,59.99999999999999,uV/K
1-s2.0-S0925838810006912-main.pdf,10.1016/j.jallcom.2010.03.170,AgxSb2-xTe3-x,Ag0.78Sb1.22Te2.22,Ag0.78Sb1.22Te2.22,0,No,,,,,,Table 1,,,300.0,188.0,uV/K
1-s2.0-S0925838810006912-main.pdf,10.1016/j.jallcom.2010.03.170,AgxSb2-xTe3-x,Ag0.81Sb1.19Te2.19,Ag0.81Sb1.19Te2.19,0,No,,,,,,Table 1,,,300.0,230.99999999999997,uV/K
