source_pdf,doi,base_composition,sample_id,full_formula,primary_dopant_element,primary_dopant_pct,primary_dopant_site,codopant_elements,all_dopants_detail,source_type,source_detail,notes,target_value,unit,_formula_reconstructed,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber,avg s valence electrons,avg p valence electrons,avg d valence electrons,avg f valence electrons,frac s valence electrons,frac p valence electrons,frac d valence electrons,frac f valence electrons,mixing_entropy,ionic_character,dopant_concentration,num_dopants,is_codoped,frac_Ag,frac_Sb,frac_Te,temperature_K,dopant_host_charge_mismatch,dopant_host_radius_mismatch
1-s2.0-S0013468616305072-main.pdf,10.1016/j.electacta.2016.02.206,AgSbTe2,"Bulk Ag20.2Sb27.9Te51.9 [Table 1, Ref 17]",Ag20.2Sb27.9Te51.9,,,,,,table,Table 1,,0.87,W/m.K,False,47.0,52.0,5.0,50.71099999999999,1.4992440000000051,52.0,65.0,90.0,25.0,83.555,7.4962199999999966,90.0,107.8682,127.6,19.731799999999993,121.98481639999999,5.828560576799996,127.6,722.66,1234.93,512.2700000000001,876.6710199999999,159.86343876000004,722.66,11.0,16.0,5.0,14.710999999999999,1.4992440000000011,16.0,5.0,5.0,0.0,5.0,0.0,5.0,138.0,145.0,7.0,139.69299999999998,2.1440279999999903,138.0,1.93,2.1,0.17000000000000015,2.05171,0.05012502000000011,2.1,1.0,2.0,1.0,1.798,0.32239199999999996,2.0,0.0,4.0,4.0,2.9129999999999994,1.1768520000000005,4.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,16.0,5.0,14.710999999999999,1.4992440000000011,16.0,0.0,1.0,1.0,0.20199999999999999,0.32239199999999996,0.0,0.0,3.0,3.0,1.875,0.7575,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,2.077,0.5150339999999999,2.0,16.33,34.7633333333,18.4333333333,30.146069999982696,5.581692279993011,34.7633333333,0.0,0.464,0.464,0.24081600000000003,0.23166499200000001,0.464,0.0,0.0,0.0,0.0,0.0,0.0,152.0,225.0,73.0,170.65200000000002,21.95659200000001,152.0,1.798,2.9129999999999994,10.0,0.0,0.12222146692950854,0.19801509074841953,0.679763442322072,0.0,8.477750362789715,0.1040058235865059,,0.0,0.0,0.20199999999999999,0.27899999999999997,0.519,300.0,,
1-s2.0-S0925838819316007-main.pdf,10.1016/j.jallcom.2019.04.294,TlSbTe2,Tl0.98In0.02SbTe2,Tl0.98In0.02SbTe2,In,0.02,Tl,,In (0.02) @ Tl site,body text,,,1.03,W/m.K,False,49.0,81.0,32.0,58.84,10.858400000000001,52.0,75.0,90.0,15.0,85.245,4.755,90.0,114.818,204.3833,89.5653,144.88799849999998,29.15269773499999,127.6,429.75,903.78,474.03,730.7887499999999,86.49562499999998,722.66,13.0,16.0,3.0,15.0,1.0,16.0,5.0,6.0,1.0,5.245,0.36995000000000006,5.0,138.0,145.0,7.0,139.985,2.4775000000000067,138.0,1.62,2.1,0.48,1.9683000000000002,0.17254999999999987,2.1,2.0,2.0,0.0,2.0,0.0,2.0,1.0,4.0,3.0,3.0,1.0,4.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,14.0,14.0,3.4299999999999997,5.1793,0.0,13.0,27.0,14.0,18.43,4.199299999999999,16.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,3.0,1.0,2.0,24.26,34.7633333333,10.503333333299995,31.98591666665,2.777416666649999,34.7633333333,0.0,0.464,0.464,0.232,0.232,0.464,0.0,0.0,0.0,0.0,0.0,0.0,139.0,194.0,55.0,165.725,13.99225,152.0,2.0,3.0,10.0,3.4299999999999997,0.10851871947911015,0.16277807921866522,0.5425935973955507,0.1861096039066739,8.848505117923192,0.29554864929476454,0.02,1.0,0.0,0.0,0.25,0.5,371.0,,
1-s2.0-S0925838819316007-main.pdf,10.1016/j.jallcom.2019.04.294,TlSbTe2,Tl0.98In0.02SbTe2,Tl0.98In0.02SbTe2,In,0.02,Tl,,In (0.02) @ Tl site,body text,,,0.7,W/m.K,False,49.0,81.0,32.0,58.84,10.858400000000001,52.0,75.0,90.0,15.0,85.245,4.755,90.0,114.818,204.3833,89.5653,144.88799849999998,29.15269773499999,127.6,429.75,903.78,474.03,730.7887499999999,86.49562499999998,722.66,13.0,16.0,3.0,15.0,1.0,16.0,5.0,6.0,1.0,5.245,0.36995000000000006,5.0,138.0,145.0,7.0,139.985,2.4775000000000067,138.0,1.62,2.1,0.48,1.9683000000000002,0.17254999999999987,2.1,2.0,2.0,0.0,2.0,0.0,2.0,1.0,4.0,3.0,3.0,1.0,4.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,14.0,14.0,3.4299999999999997,5.1793,0.0,13.0,27.0,14.0,18.43,4.199299999999999,16.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,3.0,1.0,2.0,24.26,34.7633333333,10.503333333299995,31.98591666665,2.777416666649999,34.7633333333,0.0,0.464,0.464,0.232,0.232,0.464,0.0,0.0,0.0,0.0,0.0,0.0,139.0,194.0,55.0,165.725,13.99225,152.0,2.0,3.0,10.0,3.4299999999999997,0.10851871947911015,0.16277807921866522,0.5425935973955507,0.1861096039066739,8.848505117923192,0.29554864929476454,0.02,1.0,0.0,0.0,0.25,0.5,575.0,,
1-s2.0-S0925838819316007-main.pdf,10.1016/j.jallcom.2019.04.294,TlSbTe2,Tl0.98Yb0.02SbTe2,Tl0.98Yb0.02SbTe2,Yb,0.02,Tl,,Yb (0.02) @ Tl site,body text,,,0.68,W/m.K,False,51.0,81.0,30.0,58.945,10.9175,52.0,39.0,90.0,51.0,85.065,4.9350000000000005,90.0,121.76,204.3833,82.62329999999999,145.17917849999998,29.288767749999987,127.6,577.0,1092.0,515.0,734.0999999999999,88.41899999999997,722.66,3.0,16.0,13.0,14.95,1.0750000000000004,16.0,5.0,6.0,1.0,5.25,0.375,5.0,138.0,187.0,49.0,140.21,2.815000000000004,138.0,1.26,2.1,0.8400000000000001,1.9657,0.17644999999999997,2.1,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.995,1.0074999999999998,4.0,0.0,10.0,10.0,9.95,0.0995000000000007,10.0,0.0,14.0,14.0,3.4999999999999996,5.25,0.0,15.0,27.0,12.0,18.445,4.19195,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.975,1.00475,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.975,1.00475,2.0,26.91,34.7633333333,7.853333333299997,32.03521666665,2.7489644999834986,34.7633333333,0.0,0.464,0.464,0.232,0.232,0.464,0.0,0.0,0.0,0.0,0.0,0.0,152.0,225.0,73.0,166.155,14.232500000000002,152.0,2.0,2.995,9.95,3.4999999999999996,0.10843046896177826,0.16237462727026294,0.5394415830848468,0.18975332068311193,8.848505117923192,0.30508247669136984,0.02,1.0,0.0,0.0,0.25,0.5,625.0,,
1-s2.0-S092583882601529X-main.pdf,10.1016/j.jallcom.2026.187461,Te(1-x)(AgSbTe2)x,x=0%,Te,,,,,,figure,Fig. 4a,Visually estimated from Fig. 4a,2.1,W/m.K,False,52.0,52.0,0.0,52.0,0.0,52.0,90.0,90.0,0.0,90.0,0.0,90.0,127.6,127.6,0.0,127.6,0.0,127.6,722.66,722.66,0.0,722.66,0.0,722.66,16.0,16.0,0.0,16.0,0.0,16.0,5.0,5.0,0.0,5.0,0.0,5.0,138.0,138.0,0.0,138.0,0.0,138.0,2.1,2.1,0.0,2.1,0.0,2.1,2.0,2.0,0.0,2.0,0.0,2.0,4.0,4.0,0.0,4.0,0.0,4.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,0.0,16.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,34.7633333333,34.7633333333,0.0,34.7633333333,0.0,34.7633333333,0.464,0.464,0.0,0.464,0.0,0.464,0.0,0.0,0.0,0.0,0.0,0.0,152.0,152.0,0.0,152.0,0.0,152.0,2.0,4.0,10.0,0.0,0.125,0.25,0.625,0.0,-0.0,0.0,,0.0,0.0,0.0,0.0,1.0,300.0,,
1-s2.0-S1359645412005150-main.pdf,10.1016/j.actamat.2012.07.057,AgSbTe2,5 at.% Pb,Ag20Sb25Te50Pb5,Pb,5 at.%,Sb,,Pb (5 at.%) @ Sb site,body text,Abstract,,0.35,W/m.K,False,47.0,82.0,35.0,52.25,2.975,52.0,65.0,90.0,25.0,83.3,7.550000000000001,90.0,107.8682,207.2,99.33179999999999,126.17363999999999,9.528995999999996,127.6,600.61,1234.93,634.32,864.2915,167.99965000000003,722.66,11.0,16.0,5.0,14.65,1.5249999999999997,16.0,5.0,6.0,1.0,5.05,0.09499999999999983,5.0,138.0,146.0,8.0,140.05,2.5750000000000055,138.0,1.93,2.33,0.40000000000000013,2.065,0.06150000000000011,2.1,1.0,2.0,1.0,1.8,0.32,2.0,0.0,4.0,4.0,2.85,1.225,4.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,14.0,14.0,0.7,1.33,0.0,11.0,28.0,17.0,15.35,1.915,16.0,0.0,1.0,1.0,0.2,0.32,0.0,0.0,4.0,4.0,1.95,0.78,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,2.15,0.6099999999999999,2.0,16.33,34.7633333333,18.4333333333,29.94316666665,5.628583333324998,34.7633333333,0.0,0.464,0.464,0.23200000000000004,0.23199999999999998,0.464,0.0,0.0,0.0,0.0,0.0,0.0,152.0,225.0,73.0,173.75,25.625,152.0,1.8,2.85,10.0,0.7,0.11726384364820848,0.18566775244299674,0.6514657980456027,0.04560260586319218,9.684863793422858,0.13178294573643423,0.05,1.0,0.0,0.2,0.25,0.5,300.0,1.0,0.43000000000000005
1-s2.0-S1359645412005150-main.pdf,10.1016/j.actamat.2012.07.057,AgSbTe2,6 at.% Pb,Ag20Sb24Te50Pb6,Pb,6 at.%,Sb,,Pb (6 at.%) @ Sb site,body text,Abstract,,0.35,W/m.K,False,47.0,82.0,35.0,52.56,3.532800000000002,52.0,65.0,90.0,25.0,83.26,7.575199999999999,90.0,107.8682,207.2,99.33179999999999,127.02804,10.192595199999994,127.6,600.61,1234.93,634.32,861.2598000000002,169.877776,722.66,11.0,16.0,5.0,14.64,1.5327999999999997,16.0,5.0,6.0,1.0,5.06,0.11279999999999965,5.0,138.0,146.0,8.0,140.12,2.657600000000002,138.0,1.93,2.33,0.40000000000000013,2.0678,0.0636640000000001,2.1,1.0,2.0,1.0,1.8,0.31999999999999995,2.0,0.0,4.0,4.0,2.84,1.2368000000000001,4.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,14.0,14.0,0.84,1.5792000000000002,0.0,11.0,28.0,17.0,15.48,2.0224,16.0,0.0,1.0,1.0,0.2,0.32,0.0,0.0,4.0,4.0,1.96,0.7839999999999999,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,2.16,0.6240000000000001,2.0,16.33,34.7633333333,18.4333333333,29.908666666649996,5.647306666658,34.7633333333,0.0,0.464,0.464,0.23200000000000004,0.23199999999999998,0.464,0.0,0.0,0.0,0.0,0.0,0.0,152.0,225.0,73.0,174.34,26.343200000000007,152.0,1.8,2.84,10.0,0.84,0.11627906976744186,0.18346253229974158,0.6459948320413437,0.05426356589147287,9.809184668290387,0.13715166461159073,0.06,1.0,0.0,0.2,0.24,0.5,300.0,1.0,0.43000000000000005
1-s2.0-S1359645421008223-main.pdf,10.1016/j.actamat.2021.117443,AgSbTe2,HT673,AgSb0.998Ce0.002Te2,Ce,0.2 mol%,unclear,,Ce (0.2 mol%) @ unclear site,body text,,,0.63,W/m.K,False,47.0,58.0,11.0,50.5035,1.7517499999999986,52.0,15.0,90.0,75.0,82.465,8.799964999999998,90.0,107.8682,140.116,32.24780000000001,121.216228,6.674013999999998,127.6,722.66,1234.93,512.2700000000001,896.0911099999998,173.43111000000005,722.66,3.0,16.0,13.0,14.494,1.758494,16.0,5.0,6.0,1.0,5.000500000000001,0.0009995000000006104,5.0,138.0,204.0,66.0,140.0325,2.547717499999999,138.0,1.12,2.1,0.98,2.0445349999999998,0.05819203500000013,2.1,1.0,2.0,1.0,1.75,0.375,2.0,0.0,4.0,4.0,2.7485,1.3769985,4.0,1.0,10.0,9.0,9.9955,0.00899550000000017,10.0,0.0,1.0,1.0,0.0005,0.0009995,0.0,4.0,16.0,12.0,14.494499999999999,1.7577445000000007,16.0,0.0,1.0,1.0,0.25,0.375,0.0,0.0,3.0,3.0,1.7485,0.8759985,2.0,0.0,9.0,9.0,0.0045000000000000005,0.0089955,0.0,0.0,13.0,13.0,0.006500000000000001,0.012993500000000002,0.0,1.0,22.0,21.0,2.0095,0.51425,2.0,16.33,37.24,20.910000000000004,29.357006666649998,6.513503333325,34.7633333333,0.0,0.464,0.464,0.232,0.23200000000000004,0.464,0.0,0.0,0.0,0.0,0.0,0.0,152.0,225.0,73.0,173.764,25.638236000000006,152.0,1.75,2.7485,9.9955,0.0005,0.12073545137810895,0.18962365035013282,0.6896064024285075,3.449584325088827e-05,8.674708116969997,0.11334600827349736,0.002,1.0,0.0,0.25,0.2495,0.5,673.0,,
1-s2.0-S1359645422000684-main.pdf,10.1016/j.actamat.2022.117681,(Sn1-xPbxSe)0.6(AgSbTe2)0.4,(Sn0.86Pb0.14Se)0.6(AgSbTe2)0.4,(Sn0.86Pb0.14Se)0.6(AgSbTe2)0.4,Pb,14%,Sn,,Pb (14%) @ Sn site,body text,,,0.6,W/m.K,False,34.0,82.0,48.0,47.81714285714286,6.155102040816326,52.0,65.0,90.0,25.0,83.38714285714286,6.645102040816326,90.0,78.96,207.2,128.24,114.27372857142858,16.964606122448977,127.6,494.0,1234.93,740.9300000000001,728.9587571428572,194.51213877551027,722.66,11.0,16.0,5.0,14.714285714285717,1.3673469387755095,16.0,4.0,6.0,2.0,4.815714285714286,0.3495918367346938,5.0,120.0,146.0,26.0,135.71000000000004,6.732857142857123,138.0,1.93,2.55,0.6199999999999999,2.1461000000000006,0.1841340000000003,2.1,1.0,2.0,1.0,1.857142857142857,0.2448979591836736,2.0,0.0,4.0,4.0,2.857142857142857,1.183673469387755,4.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,14.0,14.0,0.4200000000000001,0.8148000000000003,0.0,11.0,28.0,17.0,15.134285714285717,1.637657142857143,16.0,0.0,1.0,1.0,0.14285714285714288,0.24489795918367352,0.0,0.0,4.0,4.0,2.285714285714286,0.9387755102040819,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,2.4285714285714284,0.836734693877551,2.0,16.33,34.7633333333,18.4333333333,29.305345238085717,5.229824455774938,34.7633333333,0.0,0.799,0.799,0.3037857142857143,0.3037857142857143,0.464,0.0,0.0,0.0,0.0,0.0,0.0,14.0,225.0,211.0,135.02,51.86571428571428,152.0,1.857142857142857,2.857142857142857,10.0,0.4200000000000001,0.12271096847272038,0.18878610534264675,0.6607513686992637,0.027751557485369078,13.809284983942522,0.28977060483891626,0.14,1.0,0.0,0.14285714285714288,0.14285714285714288,0.28571428571428575,300.0,,
1-s2.0-S1359645422000684-main.pdf,10.1016/j.actamat.2022.117681,(Sn1-xPbxSe)0.6(AgSbTe2)0.4,"(SnSe)1-m(AgSbTe2)m, m=0%",SnSe,,,,,,figure,,Visually estimated from Fig. 4d,1.1,W/m.K,False,34.0,50.0,16.0,42.0,8.0,34.0,80.0,89.0,9.0,84.5,4.5,80.0,78.96,118.71,39.75,98.835,19.875,78.96,494.0,505.08,11.079999999999984,499.53999999999996,5.539999999999992,494.0,14.0,16.0,2.0,15.0,1.0,14.0,4.0,5.0,1.0,4.5,0.5,4.0,120.0,139.0,19.0,129.5,9.5,120.0,1.96,2.55,0.5899999999999999,2.255,0.29499999999999993,1.96,2.0,2.0,0.0,2.0,0.0,2.0,2.0,4.0,2.0,3.0,1.0,2.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,16.0,2.0,15.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,3.0,1.0,2.0,25.92,33.285,7.364999999999995,29.6025,3.6824999999999974,25.92,0.0,0.799,0.799,0.3995,0.3995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,141.0,127.0,77.5,63.5,14.0,2.0,3.0,10.0,0.0,0.13333333333333333,0.2,0.6666666666666666,0.0,5.763146321537762,0.5899999999999999,,0.0,0.0,0.0,0.0,0.0,300.0,,
