source_pdf,doi,base_composition,sample_id,full_formula,num_dopants,is_codoped,primary_dopant_element,primary_dopant_pct,primary_dopant_site,codopant_elements,all_dopants_detail,source_type,source_detail,notes,temperature_K,target_value,unit
1-s2.0-S0013468616305072-main.pdf,10.1016/j.electacta.2016.02.206,AgSbTe2,"Bulk Ag20.2Sb27.9Te51.9 [Table 1, Ref 17]",Ag20.2Sb27.9Te51.9,0,No,,,,,,table,Table 1,,,0.87,W/m.K
1-s2.0-S0925838819316007-main.pdf,10.1016/j.jallcom.2019.04.294,TlSbTe2,Tl0.98In0.02SbTe2,Tl0.98In0.02SbTe2,1,No,In,0.02,Tl,,In (0.02) @ Tl site,body text,,,371.0,1.03,W/m.K
1-s2.0-S0925838819316007-main.pdf,10.1016/j.jallcom.2019.04.294,TlSbTe2,Tl0.98In0.02SbTe2,Tl0.98In0.02SbTe2,1,No,In,0.02,Tl,,In (0.02) @ Tl site,body text,,,575.0,0.7,W/m.K
1-s2.0-S0925838819316007-main.pdf,10.1016/j.jallcom.2019.04.294,TlSbTe2,Tl0.98Yb0.02SbTe2,Tl0.98Yb0.02SbTe2,1,No,Yb,0.02,Tl,,Yb (0.02) @ Tl site,body text,,,625.0,0.68,W/m.K
1-s2.0-S092583882601529X-main.pdf,10.1016/j.jallcom.2026.187461,Te(1-x)(AgSbTe2)x,x=0%,Te,0,No,,,,,,figure,Fig. 4a,Visually estimated from Fig. 4a,300.0,2.1,W/m.K
1-s2.0-S1359645412005150-main.pdf,10.1016/j.actamat.2012.07.057,AgSbTe2,5 at.% Pb,Ag20Sb25Te50Pb5,1,No,Pb,5 at.%,Sb,,Pb (5 at.%) @ Sb site,body text,Abstract,,,0.35,W/m.K
1-s2.0-S1359645412005150-main.pdf,10.1016/j.actamat.2012.07.057,AgSbTe2,6 at.% Pb,Ag20Sb24Te50Pb6,1,No,Pb,6 at.%,Sb,,Pb (6 at.%) @ Sb site,body text,Abstract,,,0.35,W/m.K
1-s2.0-S1359645412005150-main.pdf,10.1016/j.actamat.2012.07.057,AgSbTe2,Pb-doped AgSbTe2 (3 at.%),PbxAgSbTe2 (x=0.03),1,No,Pb,3 at.%,unclear,,Pb (3 at.%) @ unclear site,figure,,Visually estimated from Fig. 5c,300.0,0.6,W/m.K
1-s2.0-S1359645412005150-main.pdf,10.1016/j.actamat.2012.07.057,AgSbTe2,Pb-doped AgSbTe2 (3 at.%),PbxAgSbTe2 (x=0.03),1,No,Pb,3 at.%,unclear,,Pb (3 at.%) @ unclear site,figure,,Visually estimated from Fig. 5c,650.0,0.8,W/m.K
1-s2.0-S1359645421008223-main.pdf,10.1016/j.actamat.2021.117443,AgSbTe2,HT673,AgSb0.998Ce0.002Te2,1,No,Ce,0.2 mol%,unclear,,Ce (0.2 mol%) @ unclear site,body text,,,673.0,0.63,W/m.K
1-s2.0-S1359645422000684-main.pdf,10.1016/j.actamat.2022.117681,(Sn1-xPbxSe)0.6(AgSbTe2)0.4,(Sn0.86Pb0.14Se)0.6(AgSbTe2)0.4,(Sn0.86Pb0.14Se)0.6(AgSbTe2)0.4,1,No,Pb,14%,Sn,,Pb (14%) @ Sn site,body text,,,300.0,0.6,W/m.K
1-s2.0-S1359645422000684-main.pdf,10.1016/j.actamat.2022.117681,(Sn1-xPbxSe)0.6(AgSbTe2)0.4,"(SnSe)1-m(AgSbTe2)m, m=0%",SnSe,0,No,,,,,,figure,,Visually estimated from Fig. 4d,300.0,1.1,W/m.K
1-s2.0-S1359645422000684-main.pdf,10.1016/j.actamat.2022.117681,(Sn1-xPbxSe)0.6(AgSbTe2)0.4,x=0%,"(Sn1-xPbxSe)0.6(AgSbTe2)0.4, x=0",0,No,,,,,,figure,,Visually estimated from Fig. 6a,300.0,1.0,W/m.K
1-s2.0-S1359645422000684-main.pdf,10.1016/j.actamat.2022.117681,(Sn1-xPbxSe)0.6(AgSbTe2)0.4,x=0%,"(Sn1-xPbxSe)0.6(AgSbTe2)0.4, x=0",0,No,,,,,,figure,,Visually estimated from Fig. 6a,800.0,0.8,W/m.K
1-s2.0-S1359645425002769-main.pdf,10.1016/j.actamat.2025.120985,AgSbTe2,QA-AgSbTe2 (A = 0 h),AgSbTe2,0,No,,,,,,body text,,Value for A = 24 h,548.0,0.38,W/m.K
1-s2.0-S1359645425002769-main.pdf,10.1016/j.actamat.2025.120985,AgSbTe2,QA-AgSbTe2 (A = 0 h),AgSbTe2,0,No,,,,,,body text,,Value for A = 0 h,548.0,0.4,W/m.K
1-s2.0-S1359645425002769-main.pdf,10.1016/j.actamat.2025.120985,AgSbTe2,QA-AgSbTe2 (A = 24 h),AgSbTe2,0,No,,,,,,figure,Fig. 4a,Visually estimated from Fig. 4a,548.0,0.38,W/m.K
1-s2.0-S221128552201196X-main.pdf,10.1016/j.nanoen.2022.108118,AgSbTe2,Slow Cooling,AgSbTe2,0,No,,,,,,figure,,Visually estimated from Fig. 7d,325.0,0.75,W/m.K
1-s2.0-S221128552201196X-main.pdf,10.1016/j.nanoen.2022.108118,AgSbTe2,Slow Cooling,AgSbTe2,0,No,,,,,,figure,,Visually estimated from Fig. 7d,425.0,0.75,W/m.K
1-s2.0-S221128552201196X-main.pdf,10.1016/j.nanoen.2022.108118,AgSbTe2,Slow Cooling,AgSbTe2,0,No,,,,,,figure,,Visually estimated from Fig. 7d,525.0,0.75,W/m.K
1-s2.0-S221128552201196X-main.pdf,10.1016/j.nanoen.2022.108118,AgSbTe2,Slow Cooling,AgSbTe2,0,No,,,,,,figure,,Visually estimated from Fig. 7d,625.0,0.8,W/m.K
1-s2.0-S221128552201196X-main.pdf,10.1016/j.nanoen.2022.108118,AgSbTe2,Fast Cooling,AgSbTe2,0,No,,,,,,figure,,Visually estimated from Fig. 7d,325.0,0.6,W/m.K
1-s2.0-S221128552201196X-main.pdf,10.1016/j.nanoen.2022.108118,AgSbTe2,Fast Cooling,AgSbTe2,0,No,,,,,,figure,,Visually estimated from Fig. 7d,425.0,0.65,W/m.K
1-s2.0-S221128552201196X-main.pdf,10.1016/j.nanoen.2022.108118,AgSbTe2,Fast Cooling,AgSbTe2,0,No,,,,,,figure,,Visually estimated from Fig. 7d,525.0,0.6,W/m.K
1-s2.0-S221128552201196X-main.pdf,10.1016/j.nanoen.2022.108118,AgSbTe2,Fast Cooling,AgSbTe2,0,No,,,,,,figure,,Visually estimated from Fig. 7d,625.0,0.65,W/m.K
1-s2.0-S221128552201196X-main.pdf,10.1016/j.nanoen.2022.108118,AgSbTe2,Quenched,AgSbTe2,0,No,,,,,,figure,,Visually estimated from Fig. 7d,325.0,0.6,W/m.K
1-s2.0-S221128552201196X-main.pdf,10.1016/j.nanoen.2022.108118,AgSbTe2,Quenched,AgSbTe2,0,No,,,,,,figure,,Visually estimated from Fig. 7d,425.0,0.65,W/m.K
1-s2.0-S221128552201196X-main.pdf,10.1016/j.nanoen.2022.108118,AgSbTe2,Quenched,AgSbTe2,0,No,,,,,,figure,,Visually estimated from Fig. 7d,525.0,0.7,W/m.K
1-s2.0-S221128552201196X-main.pdf,10.1016/j.nanoen.2022.108118,AgSbTe2,Quenched,AgSbTe2,0,No,,,,,,figure,,Visually estimated from Fig. 7d,625.0,0.8,W/m.K
1-s2.0-S2352847816300041-main.pdf,10.1016/j.jmat.2016.05.001,SnCd0.05Te-x%AgSbSe2,SnCd0.05Te,SnCd0.05Te,1,No,Cd,5%,unclear,,Cd (5%) @ unclear site,text,"Page 5, Section 3",,,4.7,W/m.K
1-s2.0-S2352847816300041-main.pdf,10.1016/j.jmat.2016.05.001,SnCd0.05Te-x%AgSbSe2,SnCd0.05Te,SnCd0.05Te,1,No,Cd,5%,unclear,,Cd (5%) @ unclear site,text,"Page 5, Section 3",,820.0,2.2,W/m.K
1-s2.0-S2352847816300041-main.pdf,10.1016/j.jmat.2016.05.001,SnCd0.05Te-x%AgSbSe2,SnCd0.05Te,SnCd0.05Te,1,No,Cd,0.05,unclear,,Cd (0.05) @ unclear site,figure,Fig. 5a,Visually estimated from Fig. 5a,300.0,4.7,W/m.K
1-s2.0-S2352847816300041-main.pdf,10.1016/j.jmat.2016.05.001,SnCd0.05Te-x%AgSbSe2,SnCd0.05Te-3%AgSbSe2,SnCd0.05Te-3%AgSbSe2,2,Yes,Cd,0.05,unclear,AgSbSe2 (3%) @ unclear,Cd (0.05) @ unclear site; AgSbSe2 (3%) @ unclear site,figure,Fig. 5a,Visually estimated from Fig. 5a,300.0,4.2,W/m.K
1-s2.0-S235284782200096X-main.pdf,10.1016/j.jmat.2022.07.005,AgSbTe2,AgSb2-xTe3-x (x=1.0),AgSbTe2,0,No,,,,,,figure,,Visually estimated from Fig. 6c,300.0,0.5,W/m.K
1-s2.0-S235284782200096X-main.pdf,10.1016/j.jmat.2022.07.005,AgSbTe2,AgSb2-xTe3-x (x=0.9),Ag0.9Sb1.1Te2.1,0,No,,,,,,figure,,Visually estimated from Fig. 6c,300.0,0.55,W/m.K
1-s2.0-S235284782200096X-main.pdf,10.1016/j.jmat.2022.07.005,AgSbTe2,AgSb2-xTe3-x (x=0.8),Ag0.8Sb1.2Te2.2,0,No,,,,,,figure,,Visually estimated from Fig. 6c,300.0,0.7,W/m.K
1-s2.0-S235284782200096X-main.pdf,10.1016/j.jmat.2022.07.005,AgSbTe2,AgSb2-xTe3-x (x=0.7),Ag0.7Sb1.3Te2.3,0,No,,,,,,figure,,Visually estimated from Fig. 6c,300.0,0.9,W/m.K
1-s2.0-S2542529325000483-main.pdf,10.1016/j.mtphys.2025.101692,AgSbTe2,"(AgSb1-yCdyTe2)0.9(Bi2Te3)0.1, y=0.00",(AgSbTe2)0.9(Bi2Te3)0.1,2,Yes,Bi,0.1,multiple sites,Cd (y=0.00) @ Sb,Bi (0.1) @ multiple sites site; Cd (y=0.00) @ Sb site,figure,,Visually estimated from Fig. 3d,300.0,0.7,W/m.K
1-s2.0-S2542529325000483-main.pdf,10.1016/j.mtphys.2025.101692,AgSbTe2,"(AgSb1-yCdyTe2)0.9(Bi2Te3)0.1, y=0.00",(AgSbTe2)0.9(Bi2Te3)0.1,2,Yes,Bi,0.1,multiple sites,Cd (y=0.00) @ Sb,Bi (0.1) @ multiple sites site; Cd (y=0.00) @ Sb site,figure,,Visually estimated from Fig. 3d,450.0,0.6,W/m.K
1-s2.0-S2542529325000483-main.pdf,10.1016/j.mtphys.2025.101692,AgSbTe2,"(AgSb1-yCdyTe2)0.9(Bi2Te3)0.1, y=0.02",(AgSb0.98Cd0.02Te2)0.9(Bi2Te3)0.1,2,Yes,Bi,0.1,multiple sites,Cd (y=0.02) @ Sb,Bi (0.1) @ multiple sites site; Cd (y=0.02) @ Sb site,figure,,Visually estimated from Fig. 3d,300.0,0.65,W/m.K
1-s2.0-S2542529325000483-main.pdf,10.1016/j.mtphys.2025.101692,AgSbTe2,"(AgSb1-yCdyTe2)0.9(Bi2Te3)0.1, y=0.02",(AgSb0.98Cd0.02Te2)0.9(Bi2Te3)0.1,2,Yes,Bi,0.1,multiple sites,Cd (y=0.02) @ Sb,Bi (0.1) @ multiple sites site; Cd (y=0.02) @ Sb site,figure,,Visually estimated from Fig. 3d,450.0,0.55,W/m.K
202106_1_online.pdf,10.1063/1.3029774,AgSbTe2,AgSbTe2,AgSbTe2,0,No,,,,,,body text,,,,0.3,W/m.K
202106_1_online.pdf,10.1063/1.3029774,AgSbTe2,AgSbTe2,AgSbTe2,0,No,,,,,,body text,,,620.0,0.39,W/m.K
202106_1_online.pdf,10.1063/1.3029774,AgSbTe2,Ag0.88Sb1.04Te2,Ag0.88Sb1.04Te2,0,No,,,,,,body text,,,,0.45,W/m.K
202106_1_online.pdf,10.1063/1.3029774,AgSbTe2,Ag0.83Sb1.06Te2,Ag0.83Sb1.06Te2,0,No,,,,,,body text,,,,0.45,W/m.K
28.pdf,,AgSbTe2,Undoped AgSbTe2,AgSbTe2,0,No,,,,,,table,Table 2,,,1.15,W/m.K
28.pdf,,AgSbTe2,undoped AgSbTe2,AgSbTe2,0,No,,,,,,table,Table 2,,,1.15,W/m.K
Adv Funct Materials - 2024 - Kim - Enhancement of Phase Stability and Thermoelectric Performance of Meta‐Stable AgSbTe2 by.pdf,10.1002/adfm.202404886,AgSbTe2,initial AgSbTe2,AgSbTe2,0,No,,,,,,body text,Page 6,,300.0,0.63,W/m.K
Adv Funct Materials - 2025 - Li - Supercompliant Lattice Boosts n‐type AgSbTe2 Thermoelectrics.pdf,10.1002/adfm.202502367,AgSbTe2,Ag0.8Na0.3Sb0.6Bi0.4Te2,Ag0.8Na0.3Sb0.6Bi0.4Te2,2,Yes,Na,10 at.% (excessive),interstitial,Bi (40 at.%) @ Sb,Na (10 at.% (excessive)) @ interstitial site; Bi (40 at.%) @ Sb site,body text,,,300.0,0.42,W/m.K
