,mean_abs_shap
MagpieData mean GSvolume_pa,0.10143602634008216
MagpieData mean SpaceGroupNumber,0.07300593553619665
dopant_host_radius_mismatch,0.048155146705092126
frac s valence electrons,0.0454586692293709
dopant_concentration,0.041536817683766505
temperature_K,0.035324392409374954
frac_Sb,0.03189527282555242
MagpieData avg_dev NUnfilled,0.024394837086429935
dopant_host_charge_mismatch,0.013878156122512609
MagpieData maximum Electronegativity,0.005703687889144956
MagpieData maximum MendeleevNumber,0.0015866248600946023
