,mean_abs_shap
MagpieData avg_dev CovalentRadius,0.044568078501001446
MagpieData avg_dev NUnfilled,0.01800041203692501
dopant_concentration,0.015353250138811161
dopant_host_radius_mismatch,0.014844170674864673
frac s valence electrons,0.014719781047468291
MagpieData avg_dev Number,0.014682891441506201
dopant_host_charge_mismatch,0.012128637383322875
MagpieData mean NUnfilled,0.011505378612123474
temperature_K,0.009722718003467147
MagpieData mean NsValence,0.007939735436261301
frac_Ag,0.006906688462764675
