source_pdf,doi,base_composition,sample_id,full_formula,num_dopants,is_codoped,primary_dopant_element,primary_dopant_pct,primary_dopant_site,codopant_elements,all_dopants_detail,property,value,unit,temperature_value,temperature_unit,source_type,source_detail,notes
1-s2.0-S0013468616305072-main.pdf,10.1016/j.electacta.2016.02.206,AgSbTe2,Ag25Sb25Te50 (stoichiometric nanocrystalline thin film),Ag25Sb25Te50,0,No,,,,,,power factor,553,mW/mK2,room temperature,,text,"Abstract, Section 3, Section 4",
1-s2.0-S0013468616305072-main.pdf,10.1016/j.electacta.2016.02.206,AgSbTe2,Ag15Sb27Te58 (amorphous thin film),Ag15Sb27Te58,0,No,,,,,,Seebeck coefficient,1270,mV/K,room temperature,,text,body text Section 3,
1-s2.0-S0013468616305072-main.pdf,10.1016/j.electacta.2016.02.206,AgSbTe2,AgxSbyTez (nanocrystalline thin films range),AgxSbyTez,0,No,,,,,,power factor,90–553,mW/mK2,room temperature,,text,Abstract,
1-s2.0-S0013468616305072-main.pdf,10.1016/j.electacta.2016.02.206,AgSbTe2,AgxSbyTez (nanocrystalline thin films range),AgxSbyTez,0,No,,,,,,Seebeck coefficient,170 to 405,mV/K,room temperature,,text,body text Section 3,
1-s2.0-S0013468616305072-main.pdf,10.1016/j.electacta.2016.02.206,AgSbTe2,"Bulk AgSbTe2 [Table 1, Ref 12]",AgSbTe2,0,No,,,,,,electrical conductivity,133.33,S/cm,room temperature,,table,Table 1,
1-s2.0-S0013468616305072-main.pdf,10.1016/j.electacta.2016.02.206,AgSbTe2,"Bulk AgSbTe2 [Table 1, Ref 12]",AgSbTe2,0,No,,,,,,Seebeck coefficient,170,mV/K,room temperature,,table,Table 1,
1-s2.0-S0013468616305072-main.pdf,10.1016/j.electacta.2016.02.206,AgSbTe2,"Bulk AgSbTe2 [Table 1, Ref 12]",AgSbTe2,0,No,,,,,,power factor,385.33,mW/m.K2,room temperature,,table,Table 1,
1-s2.0-S0013468616305072-main.pdf,10.1016/j.electacta.2016.02.206,AgSbTe2,"Bulk Ag20.2Sb27.9Te51.9 [Table 1, Ref 17]",Ag20.2Sb27.9Te51.9,0,No,,,,,,electrical conductivity,269,S/cm,room temperature,,table,Table 1,
1-s2.0-S0013468616305072-main.pdf,10.1016/j.electacta.2016.02.206,AgSbTe2,"Bulk Ag20.2Sb27.9Te51.9 [Table 1, Ref 17]",Ag20.2Sb27.9Te51.9,0,No,,,,,,Seebeck coefficient,295,mV/K,room temperature,,table,Table 1,
1-s2.0-S0013468616305072-main.pdf,10.1016/j.electacta.2016.02.206,AgSbTe2,"Bulk Ag20.2Sb27.9Te51.9 [Table 1, Ref 17]",Ag20.2Sb27.9Te51.9,0,No,,,,,,power factor,2340.97,mW/m.K2,room temperature,,table,Table 1,
1-s2.0-S0013468616305072-main.pdf,10.1016/j.electacta.2016.02.206,AgSbTe2,"Bulk Ag20.2Sb27.9Te51.9 [Table 1, Ref 17]",Ag20.2Sb27.9Te51.9,0,No,,,,,,thermal conductivity,0.87,W/mK,room temperature,,table,Table 1,
1-s2.0-S0167577X08002243-main.pdf,10.1016/j.matlet.2008.02.039,AgSbTe2,AgSbTe2 (x=0),AgSbTe2,0,No,,,,,,electrical conductivity,172.4,S/cm,room temperature,K,text,Calculated from resistivity 5.8x10^-3 Ohm cm at 2.0 GPa,Resistivity of 5.8x10^-3 Ohm cm reported at 2.0 GPa
1-s2.0-S0167577X08002243-main.pdf,10.1016/j.matlet.2008.02.039,AgSbTe2,(AgSbTe2)1-x(Ag2Te)x (x=0.05),(AgSbTe2)0.95(Ag2Te)0.05,1,No,Ag2Te,x=0.05,unclear,,Ag2Te (x=0.05) @ unclear site,,,,,,,,
