doi,source_pdf,base_composition,sample_id,full_formula,num_dopants,is_codoped,primary_dopant_element,primary_dopant_ratio,primary_dopant_site,codopant_elements,all_dopants_detail,power_factor,seebeck_coefficient,electrical_conductivity,ZT,temperature
10.1016/j.electacta.2016.02.206,1-s2.0-S0013468616305072-main.pdf,AgSbTe2,Ag15Sb27Te58 (amorphous thin film),Ag15Sb27Te58,0,No,,,,,,,1270 mV/K,,,room temperature
10.1016/j.electacta.2016.02.206,1-s2.0-S0013468616305072-main.pdf,AgSbTe2,Ag25Sb25Te50 (stoichiometric nanocrystalline thin film),Ag25Sb25Te50,0,No,,,,,,553 mW/mK2,,,,room temperature
10.1016/j.electacta.2016.02.206,1-s2.0-S0013468616305072-main.pdf,AgSbTe2,AgxSbyTez (nanocrystalline thin films range),AgxSbyTez,0,No,,,,,,90–553 mW/mK2,170 to 405 mV/K,,,room temperature
10.1016/j.electacta.2016.02.206,1-s2.0-S0013468616305072-main.pdf,AgSbTe2,"Bulk Ag20.2Sb27.9Te51.9 [Table 1, Ref 17]",Ag20.2Sb27.9Te51.9,0,No,,,,,,2340.97 mW/m.K2,295 mV/K,269 S/cm,,room temperature
10.1016/j.electacta.2016.02.206,1-s2.0-S0013468616305072-main.pdf,AgSbTe2,"Bulk AgSbTe2 [Table 1, Ref 12]",AgSbTe2,0,No,,,,,,385.33 mW/m.K2,170 mV/K,133.33 S/cm,,room temperature
10.1016/j.matlet.2008.02.039,1-s2.0-S0167577X08002243-main.pdf,AgSbTe2,"(AgSbTe2)1-x(Ag2Te)x, x=0",AgSbTe2,1,No,Ag2Te,x=0,unclear,,Ag2Te (x=0) @ unclear site,3.5 10^-4 W/mK^2,140 uV/K | 80 uV/K,1.72 mOhm*cm (resistivity),,room temperature K
10.1016/j.matlet.2008.02.039,1-s2.0-S0167577X08002243-main.pdf,AgSbTe2,"(AgSbTe2)1-x(Ag2Te)x, x=0.05",(AgSbTe2)0.95(Ag2Te)0.05,1,No,Ag2Te,x=0.05,unclear,,Ag2Te (x=0.05) @ unclear site,4.2 10^-4 W/mK^2,132 uV/K | 75 uV/K,,,room temperature K
10.1016/j.matlet.2008.02.039,1-s2.0-S0167577X08002243-main.pdf,AgSbTe2,"(AgSbTe2)1-x(Ag2Te)x, x=0.1",(AgSbTe2)0.9(Ag2Te)0.1,1,No,Ag2Te,x=0.1,unclear,,Ag2Te (x=0.1) @ unclear site,3.8 10^-4 W/mK^2,120 uV/K | 65 uV/K,,,room temperature K
10.1016/j.matlet.2008.02.039,1-s2.0-S0167577X08002243-main.pdf,AgSbTe2,"(AgSbTe2)1-x(Ag2Te)x, x=0.2",(AgSbTe2)0.8(Ag2Te)0.2,1,No,Ag2Te,x=0.2,unclear,,Ag2Te (x=0.2) @ unclear site,3.2 10^-4 W/mK^2,110 uV/K | 60 uV/K,,,room temperature K
10.1016/j.matlet.2008.02.039,1-s2.0-S0167577X08002243-main.pdf,AgSbTe2,AgSbTe2 (x=0),AgSbTe2,0,No,,,,,,,,172.4 S/cm,,room temperature K
10.1016/j.jallcom.2010.03.170,1-s2.0-S0925838810006912-main.pdf,AgxSb2-xTe3-x,Ag0.78Sb1.22Te2.22,Ag0.78Sb1.22Te2.22,0,No,,,,,,,188 uV K^-1,3.48 10^4 Sm^-1,,300 K
10.1016/j.jallcom.2010.03.170,1-s2.0-S0925838810006912-main.pdf,AgxSb2-xTe3-x,Ag0.78Sb1.22Te2.22,Ag0.78Sb1.22Te2.22,1,No,Ag,0.78,Ag,,Ag (0.78) @ Ag site,,188 uV K-1,3.48 10^4 Sm-1,,not reported
10.1016/j.jallcom.2010.03.170,1-s2.0-S0925838810006912-main.pdf,AgxSb2-xTe3-x,Ag0.81Sb1.19Te2.19,Ag0.81Sb1.19Te2.19,0,No,,,,,,,231 uV K^-1,2.63 10^4 Sm^-1,,300 K
10.1016/j.jallcom.2010.03.170,1-s2.0-S0925838810006912-main.pdf,AgxSb2-xTe3-x,Ag0.81Sb1.19Te2.19,Ag0.81Sb1.19Te2.19,1,No,Ag,0.81,Ag,,Ag (0.81) @ Ag site,,231 uV K-1,2.63 10^4 Sm-1,,not reported
10.1016/j.jallcom.2010.03.170,1-s2.0-S0925838810006912-main.pdf,AgxSb2-xTe3-x,Ag0.84Sb1.16Te2.16,Ag0.84Sb1.16Te2.16,0,No,,,,,,2.35 10^-3 W m^-1 K^-2,295 uV K^-1,2.69 10^4 Sm^-1,,300 K
10.1016/j.jallcom.2010.03.170,1-s2.0-S0925838810006912-main.pdf,AgxSb2-xTe3-x,Ag0.84Sb1.16Te2.16,Ag0.84Sb1.16Te2.16,0,No,,,,,,,,,1.53 dimensionless,500 K
10.1016/j.jallcom.2010.03.170,1-s2.0-S0925838810006912-main.pdf,AgxSb2-xTe3-x,Ag0.84Sb1.16Te2.16,Ag0.84Sb1.16Te2.16,1,No,Ag,0.84,Ag,,Ag (0.84) @ Ag site,,295 uV K-1,2.69 10^4 Sm-1,,not reported
10.1016/j.jallcom.2010.03.170,1-s2.0-S0925838810006912-main.pdf,AgxSb2-xTe3-x,Ag0.87Sb1.13Te2.13,Ag0.87Sb1.13Te2.13,0,No,,,,,,,250 uV K^-1,2.79 10^4 Sm^-1,,300 K
10.1016/j.jallcom.2010.03.170,1-s2.0-S0925838810006912-main.pdf,AgxSb2-xTe3-x,Ag0.87Sb1.13Te2.13,Ag0.87Sb1.13Te2.13,1,No,Ag,0.87,Ag,,Ag (0.87) @ Ag site,,250 uV K-1,2.79 10^4 Sm-1,,not reported
10.1016/j.jallcom.2010.03.170,1-s2.0-S0925838810006912-main.pdf,AgxSb2-xTe3-x,Ag0.90Sb1.10Te2.10,Ag0.90Sb1.10Te2.10,0,No,,,,,,,281 uV K^-1,2.33 10^4 Sm^-1,,300 K
10.1016/j.jallcom.2010.03.170,1-s2.0-S0925838810006912-main.pdf,AgxSb2-xTe3-x,Ag0.90Sb1.10Te2.10,Ag0.90Sb1.10Te2.10,0,No,,,,,,,,,1.53 dimensionless,673 K
10.1016/j.jallcom.2010.03.170,1-s2.0-S0925838810006912-main.pdf,AgxSb2-xTe3-x,Ag0.90Sb1.10Te2.10,Ag0.90Sb1.10Te2.10,1,No,Ag,0.90,Ag,,Ag (0.90) @ Ag site,,281 uV K-1,2.33 10^4 Sm-1,,not reported
10.1016/j.jallcom.2010.03.170,1-s2.0-S0925838810006912-main.pdf,AgxSb2-xTe3-x,Ag0.93Sb1.07Te2.07,Ag0.93Sb1.07Te2.07,0,No,,,,,,,254 uV K^-1,1.89 10^4 Sm^-1,,300 K
10.1016/j.jallcom.2010.03.170,1-s2.0-S0925838810006912-main.pdf,AgxSb2-xTe3-x,Ag0.93Sb1.07Te2.07,Ag0.93Sb1.07Te2.07,1,No,Ag,0.93,Ag,,Ag (0.93) @ Ag site,,254 uV K-1,1.89 10^4 Sm-1,,not reported
10.1016/j.jallcom.2019.04.294,1-s2.0-S0925838819316007-main.pdf,TlSbTe2,Tl0.98In0.02SbTe2,Tl0.98In0.02SbTe2,1,No,In,0.02,Tl,,In (0.02) @ Tl site,,141 mV K-1,490 U-1cm-1,,372 K
10.1016/j.jallcom.2019.04.294,1-s2.0-S0925838819316007-main.pdf,TlSbTe2,Tl0.98In0.02SbTe2,Tl0.98In0.02SbTe2,1,No,In,0.02,Tl,,In (0.02) @ Tl site,,,,0.61 dimensionless,480 K
10.1016/j.jallcom.2019.04.294,1-s2.0-S0925838819316007-main.pdf,TlSbTe2,Tl0.98In0.02SbTe2,Tl0.98In0.02SbTe2,1,No,In,0.02,Tl,,In (0.02) @ Tl site,,,118 U-1cm-1,,620 K
10.1016/j.jallcom.2019.04.294,1-s2.0-S0925838819316007-main.pdf,TlSbTe2,Tl0.98In0.02SbTe2,Tl0.98In0.02SbTe2,1,No,In,0.02,Tl,,In (0.02) @ Tl site,,227 mV K-1,,,623 K
10.1016/j.jallcom.2019.04.294,1-s2.0-S0925838819316007-main.pdf,TlSbTe2,Tl0.98Yb0.02SbTe2,Tl0.98Yb0.02SbTe2,1,No,Yb,0.02,Tl,,Yb (0.02) @ Tl site,,100 μV K-1,1000 Ω-1cm-1,,300 K
10.1016/j.jallcom.2019.04.294,1-s2.0-S0925838819316007-main.pdf,TlSbTe2,Tl0.98Yb0.02SbTe2,Tl0.98Yb0.02SbTe2,1,No,Yb,0.02,Tl,,Yb (0.02) @ Tl site,,213 mV K-1,218 U-1cm-1,0.85 dimensionless,625 K
10.1016/j.jallcom.2019.04.294,1-s2.0-S0925838819316007-main.pdf,TlSbTe2,TlSb0.98In0.02Te2,TlSb0.98In0.02Te2,1,No,In,0.02,Sb,,In (0.02) @ Sb site,,,695 U-1cm-1,,379 K
10.1016/j.jallcom.2019.04.294,1-s2.0-S0925838819316007-main.pdf,TlSbTe2,TlSb0.98In0.02Te2,TlSb0.98In0.02Te2,1,No,In,0.02,Sb,,In (0.02) @ Sb site,,,,0.77 dimensionless,622 K
10.1016/j.jallcom.2019.04.294,1-s2.0-S0925838819316007-main.pdf,TlSbTe2,TlSb0.98In0.02Te2,TlSb0.98In0.02Te2,1,No,In,0.02,Sb,,In (0.02) @ Sb site,,,155 U-1cm-1,,675 K
10.1016/j.jallcom.2019.04.294,1-s2.0-S0925838819316007-main.pdf,TlSbTe2,TlSb0.98In0.02Te2,TlSb0.98In0.02Te2,1,No,In,0.02,Sb,,In (0.02) @ Sb site,,113 mV K-1 | 235 mV K-1,,,not specified K
10.1016/j.jallcom.2026.187461,1-s2.0-S092583882601529X-main.pdf,Te(1-x)(AgSbTe2)x,"Te(1-x)(AgSbTe2)x, x=0.005",Te0.995(AgSbTe2)0.005,2,Yes,Ag,0.5%,unclear,Sb (0.5%) @ Te,Ag (0.5%) @ unclear site; Sb (0.5%) @ Te site,,149 μV/K,2.2 mΩ⋅cm,,300 K
10.1016/j.jallcom.2026.187461,1-s2.0-S092583882601529X-main.pdf,Te(1-x)(AgSbTe2)x,"Te(1-x)(AgSbTe2)x, x=0.005",Te0.995(AgSbTe2)0.005,2,Yes,Ag,0.5%,unclear,Sb (0.5%) @ Te,Ag (0.5%) @ unclear site; Sb (0.5%) @ Te site,13.8 μW cm−1 K−2,,,,475 K
10.1016/j.jallcom.2026.187461,1-s2.0-S092583882601529X-main.pdf,Te(1-x)(AgSbTe2)x,"Te(1-x)(AgSbTe2)x, x=0.005",Te0.995(AgSbTe2)0.005,2,Yes,Ag,0.5%,unclear,Sb (0.5%) @ Te,Ag (0.5%) @ unclear site; Sb (0.5%) @ Te site,,250 μV/K,8 mΩ⋅cm,,650 K
10.1016/j.jallcom.2026.187461,1-s2.0-S092583882601529X-main.pdf,Te(1-x)(AgSbTe2)x,"Te(1-x)(AgSbTe2)x, x=0.01",Te0.99(AgSbTe2)0.01,2,Yes,Ag,1.0%,unclear,Sb (1.0%) @ Te,Ag (1.0%) @ unclear site; Sb (1.0%) @ Te site,,,,0.85 dimensionless,650 K
10.1016/j.jallcom.2026.187461,1-s2.0-S092583882601529X-main.pdf,Te(1-x)(AgSbTe2)x,x=0%,Te,0,No,,,,,,2 µW cm^-1 K^-2,350 µV/K,0.2 mΩ·cm,,300 K
10.1016/j.jallcom.2026.187461,1-s2.0-S092583882601529X-main.pdf,Te(1-x)(AgSbTe2)x,x=0%,Te,0,No,,,,,,,150 µV/K,,,650 K
10.1016/j.jallcom.2026.187461,1-s2.0-S092583882601529X-main.pdf,Te(1-x)(AgSbTe2)x,x=0.5%,Te0.995(AgSbTe2)0.005,2,Yes,Ag,0.5%,unclear,Sb (0.5%) @ unclear,Ag (0.5%) @ unclear site; Sb (0.5%) @ unclear site,,150 µV/K,,,300 K
10.1016/j.jallcom.2026.187461,1-s2.0-S092583882601529X-main.pdf,Te(1-x)(AgSbTe2)x,x=0.5%,Te0.995(AgSbTe2)0.005,2,Yes,Ag,0.5%,unclear,Sb (0.5%) @ unclear,Ag (0.5%) @ unclear site; Sb (0.5%) @ unclear site,13.8 µW cm^-1 K^-2,,,,450 K
10.1016/j.jallcom.2026.187461,1-s2.0-S092583882601529X-main.pdf,Te(1-x)(AgSbTe2)x,x=0.5%,Te0.995(AgSbTe2)0.005,2,Yes,Ag,0.5%,unclear,Sb (0.5%) @ unclear,Ag (0.5%) @ unclear site; Sb (0.5%) @ unclear site,,250 µV/K,,,650 K
10.1016/j.jallcom.2026.187461,1-s2.0-S092583882601529X-main.pdf,Te(1-x)(AgSbTe2)x,x=0.5%,Te(0.995)(AgSbTe2)0.005,1,No,AgSbTe2,0.5%,Te,,AgSbTe2 (0.5%) @ Te site,,,,0.85 dimensionless,650 K
10.1016/j.jallcom.2026.187461,1-s2.0-S092583882601529X-main.pdf,Te(1-x)(AgSbTe2)x,x=1.0%,Te(0.99)(AgSbTe2)0.01,1,No,AgSbTe2,1.0%,Te,,AgSbTe2 (1.0%) @ Te site,,,,0.85 dimensionless,650 K
10.1016/j.jallcom.2026.187461,1-s2.0-S092583882601529X-main.pdf,Te(1-x)(AgSbTe2)x,x=1.5%,Te(0.985)(AgSbTe2)0.015,1,No,AgSbTe2,1.5%,Te,,AgSbTe2 (1.5%) @ Te site,,,,0.80 dimensionless,650 K
10.1016/j.jallcom.2026.187461,1-s2.0-S092583882601529X-main.pdf,Te(1-x)(AgSbTe2)x,x=2.0%,Te(0.98)(AgSbTe2)0.02,1,No,AgSbTe2,2.0%,Te,,AgSbTe2 (2.0%) @ Te site,,,,0.75 dimensionless,650 K
10.1016/j.actamat.2012.07.057,1-s2.0-S1359645412005150-main.pdf,AgSbTe2,3 at.% Pb,Ag20Sb27Te50Pb3,1,No,Pb,3 at.%,Sb,,Pb (3 at.%) @ Sb site,,,,0.7-0.8 dimensionless,425 K
10.1016/j.actamat.2012.07.057,1-s2.0-S1359645412005150-main.pdf,AgSbTe2,4 at.% Pb,Ag20Sb26Te50Pb4,1,No,Pb,4 at.%,Sb,,Pb (4 at.%) @ Sb site,,,,0.7-0.8 dimensionless,425 K
10.1016/j.actamat.2012.07.057,1-s2.0-S1359645412005150-main.pdf,AgSbTe2,5 at.% Pb,Ag20Sb25Te50Pb5,1,No,Pb,5 at.%,Sb,,Pb (5 at.%) @ Sb site,,,,0.7-0.8 dimensionless,425 K
10.1016/j.actamat.2012.07.057,1-s2.0-S1359645412005150-main.pdf,AgSbTe2,5 at.% Pb (annealed),Ag20Sb25Te50Pb5,1,No,Pb,5 at.%,Sb,,Pb (5 at.%) @ Sb site,,,,0.4 dimensionless,425 K
10.1016/j.actamat.2012.07.057,1-s2.0-S1359645412005150-main.pdf,AgSbTe2,6 at.% Pb,Ag20Sb24Te50Pb6,1,No,Pb,6 at.%,Sb,,Pb (6 at.%) @ Sb site,,,,0.7-0.8 dimensionless,425 K
10.1016/j.actamat.2012.07.057,1-s2.0-S1359645412005150-main.pdf,AgSbTe2,Pb-doped AgSbTe2 (3 at.%),PbxAgSbTe2 (x=0.03),1,No,Pb,3 at.%,unclear,,Pb (3 at.%) @ unclear site,,300 uV/K,60 m ohm cm,0.3 dimensionless,300 K
10.1016/j.actamat.2012.07.057,1-s2.0-S1359645412005150-main.pdf,AgSbTe2,Pb-doped AgSbTe2 (3 at.%),PbxAgSbTe2 (x=0.03),1,No,Pb,3 at.%,unclear,,Pb (3 at.%) @ unclear site,,150 uV/K,15 m ohm cm,0.2 dimensionless,650 K
10.1016/j.actamat.2012.07.057,1-s2.0-S1359645412005150-main.pdf,AgSbTe2,Pb-doped AgSbTe2 (5 at.%),PbxAgSbTe2 (x=0.05),1,No,Pb,5 at.%,unclear,,Pb (5 at.%) @ unclear site,,,,0.8 dimensionless,425 K
10.1016/j.actamat.2012.07.057,1-s2.0-S1359645412005150-main.pdf,AgSbTe2,"Pb-doped AgSbTe2 (5 at.%, annealed)",PbxAgSbTe2 (x=0.05),1,No,Pb,5 at.%,unclear,,Pb (5 at.%) @ unclear site,,,,0.4 dimensionless,425 K
10.1016/j.actamat.2021.117443,1-s2.0-S1359645421008223-main.pdf,AgSbTe2,HT523,AgSb0.998Ce0.002Te2,1,No,Ce,0.2 mol%,unclear,,Ce (0.2 mol%) @ unclear site,,88.4 μV/K,3.73e4 S/cm,,300 K
10.1016/j.actamat.2021.117443,1-s2.0-S1359645421008223-main.pdf,AgSbTe2,HT523,AgSb0.998Ce0.002Te2,1,No,Ce,0.2 mol%,unclear,,Ce (0.2 mol%) @ unclear site,,,,1.31 dimensionless,673 K
10.1016/j.actamat.2021.117443,1-s2.0-S1359645421008223-main.pdf,AgSbTe2,HT523,0.2 mol% Ce-doped AgSbTe2,1,No,Ce,0.2 mol%,unclear,,Ce (0.2 mol%) @ unclear site,,,,1.31 dimensionless,673 K
10.1016/j.actamat.2021.117443,1-s2.0-S1359645421008223-main.pdf,AgSbTe2,HT523,0.2 mol% Ce-doped AgSbTe2,1,No,Ce,0.2 mol%,unclear,,Ce (0.2 mol%) @ unclear site,,88.4 uV/K,3.73e4 S/m,,not reported
10.1016/j.actamat.2021.117443,1-s2.0-S1359645421008223-main.pdf,AgSbTe2,HT573,AgSb0.998Ce0.002Te2,1,No,Ce,0.2 mol%,unclear,,Ce (0.2 mol%) @ unclear site,,85.5 μV/K,3.58e4 S/cm,,300 K
10.1016/j.actamat.2021.117443,1-s2.0-S1359645421008223-main.pdf,AgSbTe2,HT573,AgSb0.998Ce0.002Te2,1,No,Ce,0.2 mol%,unclear,,Ce (0.2 mol%) @ unclear site,,,,1.27 dimensionless,673 K
10.1016/j.actamat.2021.117443,1-s2.0-S1359645421008223-main.pdf,AgSbTe2,HT573,0.2 mol% Ce-doped AgSbTe2,1,No,Ce,0.2 mol%,unclear,,Ce (0.2 mol%) @ unclear site,,,,1.27 dimensionless,673 K
10.1016/j.actamat.2021.117443,1-s2.0-S1359645421008223-main.pdf,AgSbTe2,HT573,0.2 mol% Ce-doped AgSbTe2,1,No,Ce,0.2 mol%,unclear,,Ce (0.2 mol%) @ unclear site,,85.5 uV/K,3.58e4 S/m,,not reported
